Method,Iteration,Number of Swaps,Nestedness
Prediction,Prediction,37870,85.52515964422902
CM,Null iteration 1,37870,86.32624599598441
CM,Null iteration 2,37870,86.20082930712744
CM,Null iteration 3,37870,86.62800797649017
CM,Null iteration 4,37870,86.35963571032414
CM,Null iteration 5,37870,86.48984958753422
CM,Null iteration 6,37870,86.65663246827738
CM,Null iteration 7,37870,86.45847117278473
CM,Null iteration 8,37870,86.41752590444943
CM,Null iteration 9,37870,86.54043955869783
CM,Null iteration 10,37870,86.19022372386512
CM,Null iteration 11,37870,86.39629646004055
CM,Null iteration 12,37870,86.5390559841224
CM,Null iteration 13,37870,86.6022202525771
CM,Null iteration 14,37870,86.49793742431186
CM,Null iteration 15,37870,86.48212624568714
CM,Null iteration 16,37870,86.39807227313729
CM,Null iteration 17,37870,86.51072082718548
CM,Null iteration 18,37870,86.3818404215586
CM,Null iteration 19,37870,86.63757346579258
CM,Null iteration 20,37870,86.56655578371527
CM,Null iteration 21,37870,86.41365413189018
CM,Null iteration 22,37870,85.67589005307991
CM,Null iteration 23,37870,86.64270589182468
CM,Null iteration 24,37870,86.38107305046492
CM,Null iteration 25,37870,86.3444476308847
CM,Null iteration 26,37870,86.41562394955284
CM,Null iteration 27,37870,86.23368558606576
CM,Null iteration 28,37870,86.45539809432978
CM,Null iteration 29,37870,86.55808816376708
CM,Null iteration 30,37870,86.24051664507954
CM,Null iteration 31,37870,86.01871027078325
CM,Null iteration 32,37870,86.55274463907394
CM,Null iteration 33,37870,86.65810652830717
CM,Null iteration 34,37870,86.50018430567238
CM,Null iteration 35,37870,86.517602450575
CM,Null iteration 36,37870,86.64262434023327
CM,Null iteration 37,37870,86.5139151216207
CM,Null iteration 38,37870,86.46741439660359
CM,Null iteration 39,37870,86.3642934754852
CM,Null iteration 40,37870,86.55373772412344
CM,Null iteration 41,37870,86.3716896685331
CM,Null iteration 42,37870,86.47765695724628
CM,Null iteration 43,37870,86.43294590168773
CM,Null iteration 44,37870,86.39891752953153
CM,Null iteration 45,37870,86.38947395865061
CM,Null iteration 46,37870,86.312606037103
CM,Null iteration 47,37870,86.5554516694026
CM,Null iteration 48,37870,86.48185987382234
CM,Null iteration 49,37870,86.17927692363517
CM,Null iteration 50,37870,86.31597893707064
CM,Null iteration 51,37870,86.24048016370537
CM,Null iteration 52,37870,86.44217765163529
CM,Null iteration 53,37870,86.49572655259524
CM,Null iteration 54,37870,86.34831726900073
CM,Null iteration 55,37870,86.47071540576792
CM,Null iteration 56,37870,86.36716078178236
CM,Null iteration 57,37870,86.66066574304955
CM,Null iteration 58,37870,86.49961668458855
CM,Null iteration 59,37870,86.53496456393705
CM,Null iteration 60,37870,86.35277997660478
CM,Null iteration 61,37870,86.53702286756413
CM,Null iteration 62,37870,86.52683377720774
CM,Null iteration 63,37870,86.57530645819601
CM,Null iteration 64,37870,86.74681810080874
CM,Null iteration 65,37870,86.37217565246027
CM,Null iteration 66,37870,86.47145449355067
CM,Null iteration 67,37870,86.44758604920216
CM,Null iteration 68,37870,86.34549849867565
CM,Null iteration 69,37870,86.57725268076797
CM,Null iteration 70,37870,86.5116710017796
CM,Null iteration 71,37870,86.56667822718981
CM,Null iteration 72,37870,86.40738796068148
CM,Null iteration 73,37870,86.2269287928157
CM,Null iteration 74,37870,86.6373459963109
CM,Null iteration 75,37870,86.4184009559145
CM,Null iteration 76,37870,86.33873342904002
CM,Null iteration 77,37870,86.3560273453999
CM,Null iteration 78,37870,86.26690115421091
CM,Null iteration 79,37870,86.57296964275247
CM,Null iteration 80,37870,86.37871631952976
CM,Null iteration 81,37870,86.68885348579846
CM,Null iteration 82,37870,86.37925022261624
