Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,394190,49640--k141_111749||full.fasta,0.0036165582179386803,1.1419748517507766e-05,0.4508168902631303,CM
,394190,49618--k141_678278||full.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,49623--k141_121963||full.fasta,0.011800081354209442,2.1368672300324335e-05,0.47438810364528483,CM
,394190,49620--k141_150709_1.fasta,0.00896283405714454,9.41356579093376e-06,0.4632799903338536,CM
,394190,49640--k141_92302||full.fasta,0.013178135097430455,7.664881721159428e-05,0.4881308230823628,CM
,394190,concatenated_49640_vRhyme_bin_43.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,49640--k141_107615_1.fasta,0.0006737733619927574,0.0,0.2921901668348286,CM
,394190,49614--k141_330859||full.fasta,0.01674269803515245,7.67314222687549e-05,0.48681354012460415,CM
,394190,49614--k141_142261||lt2gene.fasta,0.0006737733619927574,0.0,0.2921901668348286,CM
,394190,49640--k141_9439||full.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,concatenated_49617_vRhyme_bin_115.fasta,0.011171979627272668,3.1422252982926645e-05,0.47593418111506847,CM
,394190,concatenated_49640_vRhyme_bin_502.fasta,0.007187323999330235,3.548384703328881e-06,0.45002302384840326,CM
,394190,49615--k141_353014.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,49617--k141_197420||full.fasta,0.0,0.0,0.0,CM
,394190,49614--k141_256676||full.fasta,0.014311113927165603,2.738759987859908e-05,0.4674463678096096,CM
,394190,49640--k141_91292||full.fasta,0.009072043853094486,2.8665952521089755e-05,0.47482881412323974,CM
,394190,49620--k141_170404.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,concatenated_49623_vRhyme_bin_134.fasta,0.0,0.0,0.0,CM
,394190,concatenated_49620_vRhyme_bin_279.fasta,0.010238638457136061,1.6488226749464747e-05,0.43744125183866256,CM
,394190,49640--k141_78919||full.fasta,0.016516256053979748,4.501091573932359e-05,0.47711892586774696,CM
,394190,49617--k141_79878||full.fasta,0.013466414870501205,2.686723198553537e-05,0.47497589963834025,CM
,394190,49617--k141_12932||full.fasta,0.009041536833858988,3.3183452118025944e-05,0.4810858727766796,CM
,394190,concatenated_49640_vRhyme_bin_424.fasta,0.008815094852686283,1.7579721715820033e-05,0.4732898982969278,CM
,394190,49617--k141_160916||full.fasta,0.00886495944827871,8.298479099594847e-06,0.46377041905708033,CM
,394190,49623--k141_243597||full.fasta,0.008056955705379995,5.6540855108991525e-06,0.45994479130332866,CM
,394190,49617--k141_36678||full.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,49620--k141_136827||full.fasta,0.014293414615345383,2.9517334925756483e-05,0.47504947657268126,CM
,394190,concatenated_49640_vRhyme_bin_244.fasta,0.01416902184387616,6.282347404415543e-05,0.48642745594653725,CM
,394190,49640--k141_16545||full.fasta,0.0006737733619927574,0.0,0.2921901668348286,CM
,394190,49617--k141_14018||full.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,49617--k141_72012||full.fasta,0.005429513253336147,1.4295043222777405e-06,0.43189661235334753,CM
,394190,49640--k141_236248||full.fasta,0.0017623453834099264,0.0,0.38192688162587257,CM
,394190,49617--k141_118553||full.fasta,0.014753910670569819,3.360258053807779e-05,0.4685891811467559,CM
,394190,concatenated_49623_vRhyme_bin_258.fasta,0.006717032709200687,6.070661496624243e-06,0.33749869542892685,CM
,394190,49640--k141_201266||full.fasta,0.009041536833858988,3.3183452118025944e-05,0.4810858727766796,CM
,394190,49640--k141_131035||full.fasta,0.00966573055679058,2.0695905196267166e-05,0.4751230763056695,CM
,394190,49620--k141_36260||full.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,concatenated_49618_vRhyme_bin_84.fasta,0.007187323999330235,3.548384703328881e-06,0.45002302384840326,CM
,394190,49640--k141_147958||full.fasta,0.00913854967423766,9.495577839982594e-06,0.37192188418106165,CM
,394190,49623--k141_168932||full.fasta,0.009172687859681143,1.414892870083584e-05,0.47314385497414857,CM
,394190,49617--k141_140889||full.fasta,0.01606892467315969,3.682869120719282e-05,0.4757126961940501,CM
,394190,49640--k141_127482||full.fasta,0.006304774018773208,1.7795828617549885e-05,0.46645096904934885,CM
,394190,49619--k141_283963.fasta,0.009501266511153702,1.0364200962292288e-05,0.4565892795376973,CM
,394190,49640--k141_200588||full.fasta,0.009041536833858988,3.3183452118025944e-05,0.4810858727766796,CM
,394190,49640--k141_222611||full.fasta,0.01606892467315969,3.682869120719282e-05,0.4757126961940501,CM
,394190,49617--k141_197654_1.fasta,0.00836776347186623,1.1587427515044422e-05,0.4698815438619388,CM
,394190,49640--k141_98025||full.fasta,0.014888485200623695,2.5803058107940518e-05,0.4697375960810207,CM
,394190,49623--k141_198168||full.fasta,0.012514894470129937,5.187625891808294e-05,0.48604198367777857,CM
,394190,concatenated_49640_vRhyme_bin_393.fasta,0.0070569027485794,4.4188012131835275e-06,0.4428101791949959,CM
,394190,49640--k141_106094||full.fasta,0.010020123850436269,1.9644395258313567e-05,0.45557184817870366,CM
,394190,concatenated_49620_vRhyme_bin_44.fasta,0.004641590966261404,1.5876144265094082e-06,0.3608073293740742,CM
,394190,49623--k141_224035||full.fasta,0.006903676365727979,1.6873637368471656e-05,0.45665726990022243,CM
,394190,concatenated_49620_vRhyme_bin_65.fasta,0.01606892467315969,3.682869120719282e-05,0.4757126961940501,CM
,394190,49618--k141_536759||full.fasta,0.006103286615328905,1.3763512264575236e-05,0.44982499391491654,CM
,394190,49617--k141_43341||full.fasta,0.011300020107411922,4.296534283538972e-05,0.4806334763756671,CM
,394190,49617--k141_216471||full.fasta,0.0006737733619927574,0.0,0.2921901668348286,CM
,394190,49617--k141_25307||full.fasta,0.007861097361322992,2.015848766488035e-05,0.46300021076695763,CM
,394190,concatenated_49640_vRhyme_bin_535.fasta,0.015145434201031894,3.9246872504983136e-05,0.4721967658811216,CM
,394190,49614--k141_260417||full.fasta,0.007314233107100399,2.0838041288805074e-05,0.4661673475739065,CM
,394190,49620--k141_40976||full.fasta,0.008037959703434528,6.054935255065971e-06,0.4607740809878963,CM
,394190,49623--k141_115383||full.fasta,0.006103286615328905,1.3763512264575236e-05,0.44982499391491654,CM
,394190,49640--k141_164296.fasta,0.00615827739183327,3.920810812009728e-06,0.45822665610981606,CM
,394190,concatenated_49623_vRhyme_bin_166.fasta,0.006605418088456304,7.218188229882025e-06,0.4590497561582133,CM
,394190,concatenated_49617_vRhyme_bin_2.fasta,0.006280148957440442,3.3152821082782776e-06,0.4460303826652525,CM
,394190,concatenated_49640_vRhyme_bin_238.fasta,0.00966573055679058,2.0695905196267166e-05,0.4751230763056695,CM
,394190,49618--k141_620269||full.fasta,0.0017578107459940867,0.0,0.3777399637882545,CM
,394190,49623--k141_969||full.fasta,0.009041536833858988,3.3183452118025944e-05,0.4810858727766796,CM
,394190,concatenated_49620_vRhyme_bin_26.fasta,0.007279191450449061,2.4365903027617636e-05,0.4754914173214891,CM
,394190,49617--k141_103059||full.fasta,0.007187323999330235,3.548384703328881e-06,0.45002302384840326,CM
