Method,Iteration,Percent Shuffle,Nestedness
Prediction,Prediction,0.3,61.0361387336295
CM,Null iteration 1,0.3,57.88674699536115
CM,Null iteration 2,0.3,50.295386583222886
CM,Null iteration 3,0.3,43.8110473382916
CM,Null iteration 4,0.3,42.82970040053088
CM,Null iteration 5,0.3,38.839046707612155
CM,Null iteration 6,0.3,34.61364947624127
CM,Null iteration 7,0.3,34.253812813283965
CM,Null iteration 8,0.3,16.930116344709383
CM,Null iteration 9,0.3,18.161725101331395
CM,Null iteration 10,0.3,17.999927620614358
CM,Null iteration 11,0.3,19.46739367602898
CM,Null iteration 12,0.3,20.76145476197227
CM,Null iteration 13,0.3,19.551645398976156
CM,Null iteration 14,0.3,19.016661819029327
CM,Null iteration 15,0.3,17.04376018969781
CM,Null iteration 16,0.3,15.26715015060681
CM,Null iteration 17,0.3,17.244506498654058
CM,Null iteration 18,0.3,14.17009299148806
CM,Null iteration 19,0.3,16.40650360886748
CM,Null iteration 20,0.3,13.613246337464634
CM,Null iteration 21,0.3,6.594684528328377
CM,Null iteration 22,0.3,6.546698149432208
CM,Null iteration 23,0.3,6.641751488093954
CM,Null iteration 24,0.3,6.584442113745727
CM,Null iteration 25,0.3,12.91309279759731
CM,Null iteration 26,0.3,9.94221152848464
CM,Null iteration 27,0.3,9.959824690472328
CM,Null iteration 28,0.3,6.532806382260233
CM,Null iteration 29,0.3,6.60527910139245
CM,Null iteration 30,0.3,6.671441349794124
