Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,394190,49640--k141_111749||full.fasta,0.010755724530973924,1.702459634440808e-05,0.4427676981122587,CM
,394190,49618--k141_678278||full.fasta,0.004984009617732641,4.450254505485536e-06,0.4092859165079418,CM
,394190,49623--k141_121963||full.fasta,0.005542378813007192,2.8060051511297353e-05,0.4234663586276348,CM
,394190,49620--k141_150709_1.fasta,0.01250103981859407,7.658427612105805e-05,0.466525120161927,CM
,394190,49640--k141_92302||full.fasta,0.004442205686634182,1.3485396972370849e-05,0.40473119775193295,CM
,394190,concatenated_49640_vRhyme_bin_43.fasta,0.014911345700207818,4.491490279816962e-05,0.45548099742422576,CM
,394190,49640--k141_107615_1.fasta,0.01822936730747426,7.331129686731186e-05,0.46703654069925893,CM
,394190,49614--k141_330859||full.fasta,0.012959015686643378,3.810425888637807e-05,0.463479964353892,CM
,394190,49614--k141_142261||lt2gene.fasta,0.004442205686634182,1.3485396972370849e-05,0.40473119775193295,CM
,394190,49640--k141_9439||full.fasta,0.01286363117391672,3.3897425028849034e-05,0.45052675136114784,CM
,394190,concatenated_49617_vRhyme_bin_115.fasta,0.002398671740338179,2.0540979581031995e-06,0.3319710391979872,CM
,394190,concatenated_49640_vRhyme_bin_502.fasta,0.014295840064525205,3.01394504984967e-05,0.43381508918977646,CM
,394190,49615--k141_353014.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,49617--k141_197420||full.fasta,0.012668250589247995,2.456648670124165e-05,0.44735045835672665,CM
,394190,49614--k141_256676||full.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,49640--k141_91292||full.fasta,0.01440283699955241,2.8518311469350878e-05,0.4328077542464434,CM
,394190,49620--k141_170404.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,concatenated_49623_vRhyme_bin_134.fasta,0.012860312497454425,2.3571239211577123e-05,0.44714923616989555,CM
,394190,concatenated_49620_vRhyme_bin_279.fasta,0.0018215646398445549,0.0,0.37939848999874287,CM
,394190,49640--k141_78919||full.fasta,0.005618628165231601,3.0728579793611337e-06,0.4211341990588319,CM
,394190,49617--k141_79878||full.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,49617--k141_12932||full.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,concatenated_49640_vRhyme_bin_424.fasta,0.012742856083937923,8.333802251228414e-05,0.4786552974295993,CM
,394190,49617--k141_160916||full.fasta,0.01822936730747426,7.331129686731186e-05,0.46703654069925893,CM
,394190,49623--k141_243597||full.fasta,0.00792237041439788,6.196353837015223e-06,0.39787363493230843,CM
,394190,49617--k141_36678||full.fasta,0.010803172893345361,1.7552336444363005e-05,0.4460791011345626,CM
,394190,49620--k141_136827||full.fasta,0.01822936730747426,7.331129686731186e-05,0.46703654069925893,CM
,394190,concatenated_49640_vRhyme_bin_244.fasta,0.012427338114009917,2.425619834174257e-05,0.4449476808109091,CM
,394190,49640--k141_16545||full.fasta,0.012427338114009917,2.425619834174257e-05,0.4449476808109091,CM
,394190,49617--k141_14018||full.fasta,0.0018215646398445549,0.0,0.37939848999874287,CM
,394190,49617--k141_72012||full.fasta,0.0006451421612471361,0.0,0.28740537085097273,CM
,394190,49640--k141_236248||full.fasta,0.011396810732059356,5.5059210062435575e-05,0.4614004534130298,CM
,394190,49617--k141_118553||full.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,concatenated_49623_vRhyme_bin_258.fasta,0.007974983790604353,2.0292679531760083e-05,0.4611150878446259,CM
,394190,49640--k141_201266||full.fasta,0.01822936730747426,7.331129686731186e-05,0.46703654069925893,CM
,394190,49640--k141_131035||full.fasta,0.005618628165231601,3.0728579793611337e-06,0.4211341990588319,CM
,394190,49620--k141_36260||full.fasta,0.01712919418110125,5.478348831894127e-05,0.4649975568153299,CM
,394190,concatenated_49618_vRhyme_bin_84.fasta,0.011809525582219803,2.1215454656766286e-05,0.4474175726704851,CM
,394190,49640--k141_147958||full.fasta,0.005618628165231601,3.0728579793611337e-06,0.4211341990588319,CM
,394190,49623--k141_168932||full.fasta,0.00671880129160461,1.3768719251602863e-05,0.43470036158226344,CM
,394190,49617--k141_140889||full.fasta,0.006263770326478737,2.4876576318115688e-05,0.4398291911562744,CM
,394190,49640--k141_127482||full.fasta,0.005095562139352214,7.27025620114423e-06,0.420540341343174,CM
,394190,49619--k141_283963.fasta,0.0006451421612471361,0.0,0.28740537085097273,CM
,394190,49640--k141_200588||full.fasta,0.00671880129160461,1.3768719251602863e-05,0.43470036158226344,CM
,394190,49640--k141_222611||full.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
,394190,49617--k141_197654_1.fasta,0.006523420706935887,7.164679267399966e-06,0.43533491433254773,CM
,394190,49640--k141_98025||full.fasta,0.0009047925417042852,0.0,0.2742940290305926,CM
,394190,49623--k141_198168||full.fasta,0.00691712677919677,1.5892855291191616e-05,0.4560382033236666,CM
