Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,394190,49640--k141_111749||full.fasta,0.008401603520408205,9.496784926656182e-06,0.47453491621120986,CM
,394190,49618--k141_678278||full.fasta,0.007721437368422983,7.190927784011448e-06,0.4727062652816869,CM
,394190,49623--k141_121963||full.fasta,0.00537340096550204,3.163973993913519e-06,0.46687704894800086,CM
,394190,49620--k141_150709_1.fasta,0.011813668463064532,1.9605011857994526e-05,0.4855802226292366,CM
,394190,49640--k141_92302||full.fasta,0.0035538573740013877,1.0987507218547929e-06,0.44109052801365606,CM
,394190,concatenated_49640_vRhyme_bin_43.fasta,0.013656220148957175,2.3622433601924007e-05,0.48527286905846095,CM
,394190,49640--k141_107615_1.fasta,0.016146524248629935,3.465165220397427e-05,0.4882085323593002,CM
,394190,49614--k141_330859||full.fasta,0.004141250427213849,2.0405889476875805e-06,0.4138292822366836,CM
,394190,49614--k141_142261||lt2gene.fasta,0.010907892243271237,1.4486681815964576e-05,0.4780113624838195,CM
,394190,49640--k141_9439||full.fasta,0.01203454291849964,2.0080840615322916e-05,0.48465932769892434,CM
,394190,concatenated_49617_vRhyme_bin_115.fasta,0.004069402129806706,1.7105924262896078e-06,0.42424872325032076,CM
,394190,concatenated_49640_vRhyme_bin_502.fasta,0.012558043463387916,2.118499505065208e-05,0.4858879657791244,CM
,394190,49615--k141_353014.fasta,0.007722833318678552,6.771101254200555e-06,0.47226948425578563,CM
,394190,49617--k141_197420||full.fasta,0.013466784883282642,2.4638887411573926e-05,0.48681354012460415,CM
,394190,49614--k141_256676||full.fasta,0.006970860994008376,5.253262945333231e-06,0.47074708665514525,CM
,394190,49640--k141_91292||full.fasta,0.01142133790034577,1.6284164032959662e-05,0.4806334763756671,CM
,394190,49620--k141_170404.fasta,0.006903037925440741,5.919058945969084e-06,0.47074708665514525,CM
,394190,concatenated_49623_vRhyme_bin_134.fasta,0.010756873285908793,1.643976404066618e-05,0.48450618469309487,CM
,394190,concatenated_49620_vRhyme_bin_279.fasta,0.004542100282678384,2.122029663233983e-06,0.4472663743914452,CM
,394190,49640--k141_78919||full.fasta,0.010885920474180496,1.4229314537081626e-05,0.47958118633434105,CM
,394190,49617--k141_79878||full.fasta,0.006914002556770505,6.1347375986942664e-06,0.470819359179388,CM
,394190,49617--k141_12932||full.fasta,0.006909636779819649,5.7243054016351875e-06,0.4705304021503558,CM
,394190,concatenated_49640_vRhyme_bin_424.fasta,0.011426588405966668,1.7753862829451564e-05,0.48450618469309487,CM
,394190,49617--k141_160916||full.fasta,0.016347776588049995,3.567703597744561e-05,0.48851961704738256,CM
