Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,Methods
,394190,49640--k141_111749||full.fasta,0.01002530990705036,1.2792315962523522e-05,0.4842766515617756,CM
,394190,49618--k141_678278||full.fasta,0.008043458963157906,8.303780288679683e-06,0.4813123904912413,CM
,394190,49623--k141_121963||full.fasta,0.003962148592399701,1.6077267357531478e-06,0.4208717348541747,CM
,394190,49620--k141_150709_1.fasta,0.011620080928574434,1.6057068994729342e-05,0.48496590432749964,CM
,394190,49640--k141_92302||full.fasta,0.003583029976634934,1.0118487482390494e-06,0.44153507969403843,CM
,394190,concatenated_49640_vRhyme_bin_43.fasta,0.013731860795072395,2.2196245605577033e-05,0.48642745594653725,CM
,394190,49640--k141_107615_1.fasta,0.014843859286478668,2.4929214684075328e-05,0.4840473358085303,CM
,394190,49614--k141_330859||full.fasta,0.0052232600492367305,2.4062478493474798e-06,0.45101579469298386,CM
,394190,49614--k141_142261||lt2gene.fasta,0.01201489909602054,1.863822237475722e-05,0.48604198367777857,CM
,394190,49640--k141_9439||full.fasta,0.012090527140429916,1.885686124886018e-05,0.4851960914508257,CM
,394190,concatenated_49617_vRhyme_bin_115.fasta,0.005370227980656306,3.355666267254401e-06,0.4685891811467559,CM
,394190,concatenated_49640_vRhyme_bin_502.fasta,0.012582645758682688,2.2277279495324827e-05,0.48751003831411555,CM
,394190,49615--k141_353014.fasta,0.00793826968469444,7.077710190061217e-06,0.47409475087190905,CM
,394190,49617--k141_197420||full.fasta,0.013206231552687768,2.3199177678947214e-05,0.48720023767017934,CM
,394190,49614--k141_256676||full.fasta,0.005760032847251805,3.6499476861085625e-06,0.43906963934640186,CM
,394190,49640--k141_91292||full.fasta,0.012586688133885898,2.0787251401493962e-05,0.48658181610709145,CM
,394190,49620--k141_170404.fasta,0.006399698436823279,5.171244656704635e-06,0.4615368945767091,CM
,394190,concatenated_49623_vRhyme_bin_134.fasta,0.009798924684012864,1.0811178692505351e-05,0.4784588339207339,CM
