Method,Iteration,Number of Swaps,Nestedness
Prediction,Prediction,394190,61.0361387336295
CM,Null iteration 1,394190,63.13611370348026
CM,Null iteration 2,394190,63.06236799191899
CM,Null iteration 3,394190,63.185564053630515
CM,Null iteration 4,394190,63.14031339872948
CM,Null iteration 5,394190,63.146393228409636
CM,Null iteration 6,394190,63.080833942471045
CM,Null iteration 7,394190,63.18059000786029
CM,Null iteration 8,394190,63.137172772171624
CM,Null iteration 9,394190,63.13955741552669
CM,Null iteration 10,394190,63.25427672433256
CM,Null iteration 11,394190,63.13363055226587
CM,Null iteration 12,394190,63.148992566377366
CM,Null iteration 13,394190,63.16940506524905
CM,Null iteration 14,394190,63.04261439284859
CM,Null iteration 15,394190,63.11213504069883
CM,Null iteration 16,394190,63.177040383905265
CM,Null iteration 17,394190,63.093920832444596
CM,Null iteration 18,394190,63.14897174237025
CM,Null iteration 19,394190,63.207568078654944
CM,Null iteration 20,394190,63.061679735142626
CM,Null iteration 21,394190,63.12773751962563
CM,Null iteration 22,394190,63.17053999941862
CM,Null iteration 23,394190,63.05061787397765
CM,Null iteration 24,394190,63.147276451783306
CM,Null iteration 25,394190,63.1344867850717
CM,Null iteration 26,394190,63.20267808297713
CM,Null iteration 27,394190,63.03936735353895
CM,Null iteration 28,394190,63.14688493245112
CM,Null iteration 29,394190,63.127780324550756
CM,Null iteration 30,394190,63.117231530326855
