Method,Iteration,Number of Swaps,Nestedness
Prediction,Prediction,394190,61.0361387336295
CM,Null iteration 1,394190,63.07179879411793
CM,Null iteration 2,394190,63.18733902979379
CM,Null iteration 3,394190,63.12352344082293
CM,Null iteration 4,394190,63.16682197944219
CM,Null iteration 5,394190,63.16949415306489
CM,Null iteration 6,394190,63.12045150022141
CM,Null iteration 7,394190,63.161588491906784
CM,Null iteration 8,394190,63.11769844896867
CM,Null iteration 9,394190,63.124788058704844
CM,Null iteration 10,394190,63.169936008114384
CM,Null iteration 11,394190,63.147716335483565
CM,Null iteration 12,394190,63.11736693998934
CM,Null iteration 13,394190,63.20468266904953
CM,Null iteration 14,394190,63.12953610935136
CM,Null iteration 15,394190,63.10279940808779
CM,Null iteration 16,394190,63.09480128063382
CM,Null iteration 17,394190,63.1340319591112
CM,Null iteration 18,394190,63.0202308130815
CM,Null iteration 19,394190,63.17615110447344
CM,Null iteration 20,394190,63.18495483021469
CM,Null iteration 21,394190,63.18854903976758
CM,Null iteration 22,394190,63.141444353429144
CM,Null iteration 23,394190,63.17031953785646
CM,Null iteration 24,394190,63.18689003045472
CM,Null iteration 25,394190,63.24201029686955
CM,Null iteration 26,394190,63.051131897035276
CM,Null iteration 27,394190,63.158614264930875
CM,Null iteration 28,394190,63.173128157354554
CM,Null iteration 29,394190,63.128563296179685
CM,Null iteration 30,394190,63.231410039259586
