Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,11080,49614--sample_49614_k141_1327503,0.04248425990978594,0.0003661582141503445,0.48103342934450555
SM,11080,49614--sample_49614_k141_1366290,0.022750155471474697,6.466367697233053e-05,0.42291370908951387
SM,11080,49614--sample_49614_k141_2271113,0.04333249121730393,0.0003737744170303396,0.4782367233599445
SM,11080,49614--sample_49614_k141_1095132,0.03344866673381515,0.0001940104059895681,0.4595347285916785
SM,11080,49614--sample_49614_k141_1030954,0.02163112323900859,5.349441659879247e-05,0.4154379617066184
SM,11080,49614--sample_49614_k141_1651093,0.053686646164807825,0.0006235626443923077,0.4910848741367788
SM,11080,49614--sample_49614_k141_1992237,0.022405799156638134,5.929307408024957e-05,0.4196771245811758
SM,11080,49614--sample_49614_k141_149411,0.044107167134933484,0.00043007056589747114,0.4910848741367788
SM,11080,49614--sample_49614_k141_259366,0.04465105298883704,0.0003888850011248798,0.48103342934450555
SM,11080,49614--sample_49614_k141_823274,0.021630096592414234,6.14177839725116e-05,0.41648970338182506
SM,11080,49614--sample_49614_k141_1641869,0.022245253832198907,6.908980992219171e-05,0.4207504676107951
SM,11080,49614--sample_49614_k141_262368,0.04325893582741548,0.0004001527585919712,0.4838630377524144
SM,11080,49614--sample_49614_k141_878570,0.032399879240635795,0.0002216702824815731,0.4634181206642842
SM,11080,49614--sample_49614_k141_1298515,0.03344866673381515,0.0001940104059895681,0.4595347285916785
SM,11080,49614--sample_49614_k141_1667848,0.032328607854754686,0.00017909210138228728,0.4595347285916785
SM,11080,49614--sample_49614_k141_46532,0.011546742569858454,0.0,0.35379232867918475
SM,11080,49614--sample_49614_k141_1582181,0.04387637707120749,0.00036661822273864896,0.48244408456252463
SM,11080,49614--sample_49614_k141_1167240,0.033176839162272695,0.00019843838776808628,0.4634181206642842
SM,11080,49614--sample_49614_k141_2296830,0.03283350949403048,0.00017420527465155357,0.45825468756496074
SM,11080,49614--sample_49614_k141_311416,0.04360226549565769,0.0004365665879011319,0.4881704238451659
SM,11080,49614--sample_49614_k141_461285,0.020582335745829235,4.820215564396172e-05,0.40520549959561797
SM,11080,49614--sample_49614_k141_978190,0.03290478087991159,0.00021325997422236775,0.464727211400624
SM,11080,49614--sample_49614_k141_73758,0.03205654957239359,0.00020416611232251976,0.464727211400624
SM,11080,49614--sample_49614_k141_13228,0.04387535042461314,0.00038520251510005377,0.4838630377524144
SM,11080,49614--sample_49614_k141_1566350,0.05453487747232583,0.0006520027926779546,0.49403433284030296
SM,11080,49614--sample_49614_k141_841638,0.06523338873466628,0.0009729705233733767,0.5000408292882095
SM,11080,49614--sample_49614_k141_2304003,0.04325893582741548,0.0004001527585919712,0.4838630377524144
SM,11080,49614--sample_49614_k141_1082226,0.04360226549565769,0.0004365665879011319,0.4881704238451659
SM,11080,49614--sample_49614_k141_1581344,0.044107167134933484,0.00043007056589747114,0.4910848741367788
SM,11080,49614--sample_49614_k141_65000,0.04438025206388893,0.00037588955541945887,0.4852903623475543
SM,11080,49614--sample_49614_k141_301897,0.04333249121730393,0.0003737744170303396,0.4782367233599445
SM,11080,49614--sample_49614_k141_290227,0.04333249121730393,0.0003737744170303396,0.4782367233599445
SM,11080,49614--sample_49614_k141_581161,0.032399879240635795,0.0002216702824815731,0.4634181206642842
SM,11080,49614--sample_49614_k141_1838286,0.020582335745829235,4.820215564396172e-05,0.40520549959561797
SM,11080,49614--sample_49614_k141_1809878,0.02190089751736234,5.73787878247051e-05,0.41128358208955224
SM,11080,49614--sample_49614_k141_1866512,0.031784722000851126,0.00018893472398097015,0.4569817578772803
SM,11080,49614--sample_49614_k141_2021145,0.05507876332622938,0.0006229106018464721,0.49403433284030296
SM,11080,49614--sample_49614_k141_3196,0.033447640087220794,0.00020467133097725384,0.4621163843702834
SM,11080,49614--sample_49614_k141_1887436,0.032329634501349035,0.00017404686527890896,0.45571588043163685
SM,11080,49614--sample_49614_k141_1735616,0.03395254172649659,0.00020215948428293706,0.4634181206642842
