Method,Iteration,Number of Swaps,Nestedness,Number of Connected Components,Diameter,Average Shortest Path Length,Modularity,Codelength
Prediction,Prediction,11080,67.47376247673967,14,4,2.184681652981559,1,6.354417928687865
SM,Null iteration 1,11080,53.66870508832063,6,4,2.1622997345051727,1,6.417407671493246
SM,Null iteration 2,11080,53.658928526196235,4,4,2.1751148739100548,1,6.420399703680687
SM,Null iteration 3,11080,55.25052477299353,2,4,2.1964071856287424,1,6.418350066525032
SM,Null iteration 4,11080,53.07857278590366,4,4,2.1643330077065017,1,6.424171850621023
SM,Null iteration 5,11080,54.67551917480995,3,4,2.1701102299904695,1,6.425638792951345
SM,Null iteration 6,11080,55.13804633162199,3,4,2.1700383017748286,1,6.425004133582754
SM,Null iteration 7,11080,54.94170137896863,1,4,2.177647476901208,1,6.428934699408348
SM,Null iteration 8,11080,56.04470707242913,6,4,2.1715279685068203,1,6.414382100571561
SM,Null iteration 9,11080,56.052982703216585,3,4,2.1680962399525274,1,6.422857634591209
SM,Null iteration 10,11080,55.37047494932616,2,4,2.1643042273661632,1,6.427577730575537
SM,Null iteration 11,11080,54.70183553034367,4,4,2.1892977314664064,1,6.415944683784702
SM,Null iteration 12,11080,54.225671265223696,3,4,2.18564672456888,1,6.42064449525937
SM,Null iteration 13,11080,53.927411440783125,5,4,2.1711862555964037,1,6.417932395953501
SM,Null iteration 14,11080,52.92672405635871,5,4,2.1671095257161577,1,6.420538253893599
SM,Null iteration 15,11080,53.17406827414975,4,4,2.152357176453562,1,6.425213570928488
SM,Null iteration 16,11080,54.42508956729948,5,4,2.1709314599788883,1,6.416945702430082
SM,Null iteration 17,11080,52.681789075438246,1,4,2.174378109452736,1,6.430743531382291
SM,Null iteration 18,11080,55.413085441450185,5,4,2.171077057474611,1,6.419038936667249
SM,Null iteration 19,11080,52.484170299397505,6,4,2.1471024443834112,1,6.422299760504263
SM,Null iteration 20,11080,55.48206956570945,2,4,2.1842881401376353,1,6.424178727664554
SM,Null iteration 21,11080,52.99815358091594,4,4,2.177032454140888,1,6.42071726314518
SM,Null iteration 22,11080,56.19381378286715,3,4,2.1910413407419393,1,6.41947114808023
SM,Null iteration 23,11080,53.770958058680634,6,4,2.165449052458116,1,6.4169797989280815
SM,Null iteration 24,11080,53.408510232444904,2,4,2.1754937885423185,1,6.426616438468133
SM,Null iteration 25,11080,51.39538351001303,4,4,2.1703028329534355,1,6.421876997770225
SM,Null iteration 26,11080,52.70976474914357,6,4,2.1598095761237754,1,6.4200538177404365
SM,Null iteration 27,11080,53.154630798447776,3,4,2.165902429375483,1,6.426136341249976
SM,Null iteration 28,11080,49.38861670244649,7,4,2.151644100580271,1,6.418355792520771
SM,Null iteration 29,11080,54.38317261492634,5,4,2.1794125141047576,1,6.415102990733977
SM,Null iteration 30,11080,54.93763289065704,5,4,2.17573617733775,1,6.415400778971582
SM,Null iteration 31,11080,53.03607035362514,4,4,2.1866565360541266,1,6.4190956566849735
SM,Null iteration 32,11080,52.523029018731606,5,4,2.1490918356204274,1,6.424501245730872
SM,Null iteration 33,11080,55.500803748577056,2,4,2.1707748681740995,1,6.426148486892755
SM,Null iteration 34,11080,53.24434419846308,4,4,2.1686385180361083,1,6.422382503973961
SM,Null iteration 35,11080,56.760413372721516,1,4,2.2016702203269367,1,6.420979939620477
SM,Null iteration 36,11080,53.922090592593314,2,4,2.150075967468049,1,6.432958185463378
SM,Null iteration 37,11080,53.9223913392115,4,4,2.1693259524584825,1,6.420974442666568
SM,Null iteration 38,11080,55.26553486086326,3,4,2.1756487025948106,1,6.423136871393295
SM,Null iteration 39,11080,55.108649097446204,6,4,2.1461503250022886,1,6.421789859292356
SM,Null iteration 40,11080,55.45723905400362,5,4,2.1688930950387655,1,6.4193436185022295
SM,Null iteration 41,11080,52.04567270259254,3,4,2.1834169498840157,1,6.420838197643565
SM,Null iteration 42,11080,53.940705812998175,2,4,2.153793904727858,1,6.432397812109022
SM,Null iteration 43,11080,56.29114672756998,4,4,2.1682043489272407,1,6.420103209486965
SM,Null iteration 44,11080,55.449381758913134,4,4,2.174174174174174,1,6.421321809959971
SM,Null iteration 45,11080,54.68453864610897,1,4,2.162046908315565,1,6.432195767590408
SM,Null iteration 46,11080,47.12560974987174,5,4,2.161868015870127,1,6.422661287615156
SM,Null iteration 47,11080,54.73024332666072,3,4,2.159968351585118,1,6.427156985353555
SM,Null iteration 48,11080,53.15353444009379,6,4,2.158674356861668,1,6.420160253355088
SM,Null iteration 49,11080,55.533823763458756,6,4,2.151460221550856,1,6.419960748424259
SM,Null iteration 50,11080,52.725237693239826,5,4,2.1614676227568888,1,6.422090447920441
SM,Null iteration 51,11080,54.10034887677074,1,4,2.176261549395878,1,6.42760962385239
SM,Null iteration 52,11080,53.62438078445584,5,4,2.1748261929894808,1,6.417411550210803
SM,Null iteration 53,11080,54.41113636093654,4,4,2.1663953109736243,1,6.424478872851498
SM,Null iteration 54,11080,55.427675305409394,3,4,2.1564438690187195,1,6.426052271877068
SM,Null iteration 55,11080,53.22599504589843,3,4,2.1706496916077755,1,6.42465953549151
SM,Null iteration 56,11080,56.87138790934921,3,4,2.1827695959432485,1,6.4192087775536955
SM,Null iteration 57,11080,55.06396478801189,4,4,2.1596656897861717,1,6.424224762130802
SM,Null iteration 58,11080,56.590222858726435,2,4,2.190508535168469,1,6.420808918769818
SM,Null iteration 59,11080,54.136823550453265,2,4,2.1820359281437125,1,6.4233769037840975
SM,Null iteration 60,11080,53.98370109688262,4,4,2.1759832121277904,1,6.419824117947579
SM,Null iteration 61,11080,55.35572412244702,4,4,2.1626686927891745,1,6.423172925548381
SM,Null iteration 62,11080,52.559741863493976,2,4,2.156832603449817,1,6.430951882953939
SM,Null iteration 63,11080,55.7852055686009,5,4,2.1799221053397884,1,6.417023032475312
SM,Null iteration 64,11080,51.86233800083758,2,4,2.1455357940834747,1,6.434070388450238
SM,Null iteration 65,11080,53.4097762809294,4,4,2.167046564636926,1,6.422815233637708
SM,Null iteration 66,11080,57.39094762989495,5,4,2.1921158956065954,1,6.410680907403337
SM,Null iteration 67,11080,55.806748951205854,6,4,2.1648265128627666,1,6.4174898501390105
SM,Null iteration 68,11080,57.17751649147437,2,4,2.191402270086692,1,6.419933277547246
SM,Null iteration 69,11080,54.2818658702416,4,4,2.174933970114693,1,6.4190332357710576
SM,Null iteration 70,11080,53.734685245152676,4,4,2.144578313253012,1,6.429202136311834
