Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,201630,49614--sample_49614_k141_1366290,0.015842830037622636,9.484047377472118e-06,0.49961210240496506
SM,201630,49614--sample_49614_k141_1673869,0.0183627522563978,1.2685088649353034e-05,0.5003885003885004
SM,201630,49614--sample_49614_k141_361656,0.01830501129875587,1.279761995896615e-05,0.5003885003885004
SM,201630,49614--sample_49614_k141_1427871,0.01730948515074936,1.086382506698448e-05,0.5
SM,201630,49614--sample_49614_k141_1684910,0.02201632075728329,1.861561279017803e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_1888333,0.023429765251328716,2.0533413572245872e-05,0.5019485580670304
SM,201630,49614--sample_49614_k141_1420726,0.018342095088311607,1.2771836971579952e-05,0.5003885003885004
SM,201630,49614--sample_49614_k141_1263971,0.021075903440243657,1.6215312888158535e-05,0.5011673151750973
SM,201630,49614--sample_49614_k141_1030954,0.01970768508297785,1.4438532537101088e-05,0.5007776049766719
SM,201630,49614--sample_49614_k141_1613401,0.022126270370275994,1.842809904522268e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_1358288,0.019474489432155705,1.462935988518758e-05,0.5007776049766719
SM,201630,49614--sample_49614_k141_1030670,0.01983584216212095,1.428437985798508e-05,0.5007776049766719
SM,201630,49614--sample_49614_k141_1820688,0.02340933458687828,2.0513454486301202e-05,0.5019485580670304
SM,201630,49614--sample_49614_k141_1487501,0.02100808769382686,1.6293012559278515e-05,0.5011673151750973
SM,201630,49614--sample_49614_k141_1651093,0.01962544555973648,1.4493276403932374e-05,0.5007776049766719
SM,201630,49614--sample_49614_k141_1675793,0.023398737565979842,2.056244017285931e-05,0.5019485580670304
SM,201630,49614--sample_49614_k141_942127,0.022113870492909242,1.842766086925221e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_656736,0.021944071081018344,1.862622169942776e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_1678667,0.02468821520069398,2.278121341188877e-05,0.5023400936037441
SM,201630,49614--sample_49614_k141_1943765,0.01357366614775688,6.596550805452141e-06,0.4984520123839009
SM,201630,49614--sample_49614_k141_1816064,0.014693957774476954,8.041939663853794e-06,0.4992248062015504
SM,201630,49614--sample_49614_k141_149411,0.01961469396204906,1.4486746458133093e-05,0.5007776049766719
SM,201630,49614--sample_49614_k141_1996265,0.019508497669978777,1.4625654300224184e-05,0.5007776049766719
SM,201630,49614--sample_49614_k141_1502755,0.022062486070174775,1.84661097449094e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_259366,0.014788044980282435,7.904690443753097e-06,0.4992248062015504
SM,201630,49614--sample_49614_k141_75054,0.024543140502979923,2.2947981146075788e-05,0.5023400936037441
SM,201630,49614--sample_49614_k141_2139,0.02216416333195767,1.8359499353148717e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_823274,0.015898873313422657,9.486840890588338e-06,0.49961210240496506
SM,201630,49614--sample_49614_k141_1735709,0.017079843560371268,1.1061326100906352e-05,0.5
SM,201630,49614--sample_49614_k141_762662,0.018431630529284884,1.2643971541940855e-05,0.5003885003885004
SM,201630,49614--sample_49614_k141_1698348,0.022056303638345924,1.8463322921236574e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_1641869,0.02210027341135031,1.8493316038879942e-05,0.5015576323987538
SM,201630,49614--sample_49614_k141_262368,0.01473941097887393,7.921895759312161e-06,0.4992248062015504
SM,201630,49614--sample_49614_k141_611934,0.020730245306613188,1.659915575390559e-05,0.5011673151750973
SM,201630,49614--sample_49614_k141_405366,0.020755501581072817,1.648820260139644e-05,0.5011673151750973
SM,201630,49614--sample_49614_k141_1298515,0.027157645829265532,2.769269384657976e-05,0.503125
SM,201630,49614--sample_49614_k141_1081030,0.01589377697870657,9.462443260831022e-06,0.49961210240496506
SM,201630,49614--sample_49614_k141_1494757,0.020830390483909417,1.645944526740631e-05,0.5011673151750973
SM,201630,49614--sample_49614_k141_228945,0.018543991499234986,1.2528651132786484e-05,0.5003885003885004
SM,201630,49614--sample_49614_k141_651585,0.015916039122165798,9.401311786086966e-06,0.49961210240496506
SM,201630,49614--sample_49614_k141_1667848,0.01591398215828218,9.447563625714114e-06,0.49961210240496506
SM,201630,49614--sample_49614_k141_1582181,0.019551809818318187,1.4600151805364178e-05,0.5007776049766719
SM,201630,49614--sample_49614_k141_888599,0.024556318809470734,2.288558911478792e-05,0.5023400936037441
SM,201630,49614--sample_49614_k141_589501,0.018447255652915575,1.2600006244590324e-05,0.5003885003885004
