Method,Iteration,Number of Swaps,Nestedness,Number of Connected Components,Diameter,Average Shortest Path Length,Modularity,Codelength
Prediction,Prediction,201630,73.12684611317978,1,4,2.013706518125178,1,8.468593494911925
SM,Null iteration 1,201630,57.079621626103496,1,4,1.993979154720545,1,8.543763187649876
SM,Null iteration 2,201630,56.69574654538761,1,4,1.9939671082113826,1,8.544472077018243
SM,Null iteration 3,201630,56.52785323640508,1,4,1.9940177035498654,1,8.54353352026137
SM,Null iteration 4,201630,56.83109780020395,1,4,1.9939863826260427,1,8.543523352410253
SM,Null iteration 5,201630,56.76191906693876,1,4,1.99397433611688,1,8.543738273843916
SM,Null iteration 6,201630,56.65862966452802,1,4,1.9939719268150475,1,8.543995878407873
SM,Null iteration 7,201630,56.495032399604696,1,4,1.99396469890955,1,8.54369952546996
SM,Null iteration 8,201630,56.70241632921553,1,4,1.9939936105315401,1,8.543545555719867
SM,Null iteration 9,201630,56.77934594511828,1,4,1.9939960198333726,1,8.543595926871928
SM,Null iteration 10,201630,56.29798583944812,1,4,1.99397433611688,1,8.544101923041088
SM,Null iteration 11,201630,56.506034936581784,1,4,1.99397433611688,1,8.54441916470907
SM,Null iteration 12,201630,56.60064762316706,1,4,1.9939887919278751,1,8.543915890783778
SM,Null iteration 13,201630,56.3720754256709,1,4,1.993969517513215,1,8.544223989872867
SM,Null iteration 14,201630,56.76591725654566,1,4,1.9939912012297076,1,8.543713549890379
SM,Null iteration 15,201630,56.344071551649726,1,4,1.9940008384370378,1,8.543265198703466
SM,Null iteration 16,201630,56.7437181462833,1,4,1.993979154720545,1,8.543597762687304
SM,Null iteration 17,201630,56.6973361703367,1,4,1.9939912012297076,1,8.54332321468556
SM,Null iteration 18,201630,56.93435844758869,1,4,1.9939815640223777,1,8.543842416577744
SM,Null iteration 19,201630,56.45288658700734,1,4,1.9939815640223777,1,8.543701818793359
SM,Null iteration 20,201630,56.27243943879209,1,4,1.9939671082113826,1,8.544350231618756
SM,Null iteration 21,201630,56.66859854113832,1,4,1.993979154720545,1,8.543978399328209
SM,Null iteration 22,201630,56.50544802688688,1,4,1.9940273407571953,1,8.543856030137249
SM,Null iteration 23,201630,56.86428619469967,1,4,1.9939887919278751,1,8.543769178205622
SM,Null iteration 24,201630,57.01123679529716,1,4,1.9939839733242102,1,8.543001020251719
SM,Null iteration 25,201630,56.051585648289105,1,4,1.9939719268150475,1,8.544569444250653
SM,Null iteration 26,201630,56.915136655539726,1,4,1.9939767454187125,1,8.54364900114258
SM,Null iteration 27,201630,56.12977143750247,1,4,1.99397433611688,1,8.544145945258112
SM,Null iteration 28,201630,56.271261942983415,1,4,1.9939719268150475,1,8.544869859383335
SM,Null iteration 29,201630,56.881425079391136,1,4,1.9939839733242102,1,8.543661334653901
SM,Null iteration 30,201630,55.57032070179843,1,4,1.9939839733242102,1,8.544409181317338
SM,Null iteration 31,201630,56.393357985301364,1,4,1.9939912012297076,1,8.543761965899519
SM,Null iteration 32,201630,56.54414081085475,1,4,1.993969517513215,1,8.544026921355306
SM,Null iteration 33,201630,56.6945786089723,1,4,1.9939671082113826,1,8.5437837335625
SM,Null iteration 34,201630,56.569374691325706,1,4,1.9939936105315401,1,8.54353775053637
SM,Null iteration 35,201630,56.819492737224444,1,4,1.9940008384370378,1,8.54346366351455
SM,Null iteration 36,201630,56.634164699833434,1,4,1.99397433611688,1,8.543583469942476
SM,Null iteration 37,201630,56.95404140096234,1,4,1.9939767454187125,1,8.543536257768013
SM,Null iteration 38,201630,56.668540574007864,1,4,1.9939863826260427,1,8.543926203954904
SM,Null iteration 39,201630,56.46866864521355,1,4,1.9939719268150475,1,8.544049609773246
SM,Null iteration 40,201630,56.55198470545015,1,4,1.99397433611688,1,8.5436535744833
SM,Null iteration 41,201630,56.65788616110139,1,4,1.99397433611688,1,8.54366547222992
SM,Null iteration 42,201630,56.38378595339783,1,4,1.9939719268150475,1,8.544291757475921
SM,Null iteration 43,201630,56.3719693262282,1,4,1.9940152942480327,1,8.543905609584275
SM,Null iteration 44,201630,56.809426426962816,1,4,1.9940032477388703,1,8.544010273472939
SM,Null iteration 45,201630,56.23751971493399,1,4,1.9939839733242102,1,8.544176274947318
SM,Null iteration 46,201630,56.13423319946298,1,4,1.993969517513215,1,8.544520127565429
SM,Null iteration 47,201630,56.607567634433664,1,4,1.9940032477388703,1,8.543333030579104
SM,Null iteration 48,201630,56.942096030708406,1,4,1.9940080663425352,1,8.54334607588139
SM,Null iteration 49,201630,56.55650742361071,1,4,1.9939719268150475,1,8.544310907106167
SM,Null iteration 50,201630,56.855258828437954,1,4,1.9939936105315401,1,8.543834272262659
SM,Null iteration 51,201630,56.69118426705032,1,4,1.9939839733242102,1,8.544035304767101
SM,Null iteration 52,201630,56.65856354082898,1,4,1.9939815640223777,1,8.543469739259324
SM,Null iteration 53,201630,56.85697818881677,1,4,1.993969517513215,1,8.543895412830345
SM,Null iteration 54,201630,56.61529681839777,1,4,1.9939960198333726,1,8.543890756246578
SM,Null iteration 55,201630,56.61577121731153,1,4,1.9940225221535304,1,8.543570446604855
SM,Null iteration 56,201630,56.95541761857793,1,4,1.9940080663425352,1,8.543245654302659
SM,Null iteration 57,201630,56.320918751474004,1,4,1.9939767454187125,1,8.54436467636944
SM,Null iteration 58,201630,56.273614618679034,1,4,1.9939815640223777,1,8.544014969271172
SM,Null iteration 59,201630,56.43196743376379,1,4,1.99396469890955,1,8.544062075204424
SM,Null iteration 60,201630,56.753254495814744,1,4,1.9939815640223777,1,8.543826371998007
SM,Null iteration 61,201630,56.33739652733276,1,4,1.99396469890955,1,8.544284832588385
SM,Null iteration 62,201630,57.00039686977708,1,4,1.9939815640223777,1,8.543740962918246
SM,Null iteration 63,201630,56.23274380993287,1,4,1.9939960198333726,1,8.54359027843543
SM,Null iteration 64,201630,56.58640007424865,1,4,1.993979154720545,1,8.544275559108723
SM,Null iteration 65,201630,56.43040187525473,1,4,1.993959880305885,1,8.543839696428211
SM,Null iteration 66,201630,56.50167670541053,1,4,1.9939887919278751,1,8.543404734788574
SM,Null iteration 67,201630,56.27637919915696,1,4,1.993979154720545,1,8.544601007703724
SM,Null iteration 68,201630,56.773510687949326,1,4,1.993979154720545,1,8.543745640857423
SM,Null iteration 69,201630,56.73818582407736,1,4,1.99397433611688,1,8.543610808217952
SM,Null iteration 70,201630,56.28287241227736,1,4,1.9939671082113826,1,8.544388258744094
SM,Null iteration 71,201630,56.39253807122028,1,4,1.9939887919278751,1,8.543742564747845
SM,Null iteration 72,201630,57.12632568787488,1,4,1.9940128849462002,1,8.542878157388593
SM,Null iteration 73,201630,56.9992097450764,1,4,1.9939815640223777,1,8.543077122306949
SM,Null iteration 74,201630,56.600301019012846,1,4,1.9939887919278751,1,8.543437567033287
SM,Null iteration 75,201630,56.41199116243977,1,4,1.9940273407571953,1,8.54372401401897
SM,Null iteration 76,201630,56.46209376785204,1,4,1.9940152942480327,1,8.543058312524128
SM,Null iteration 77,201630,56.66663657661281,1,4,1.99397433611688,1,8.543862741759572
SM,Null iteration 78,201630,56.7614159577485,1,4,1.9940008384370378,1,8.543893018756345
SM,Null iteration 79,201630,56.563675311644474,1,4,1.9939887919278751,1,8.543634235826774
SM,Null iteration 80,201630,56.03745976485068,1,4,1.9939815640223777,1,8.543506131251263
SM,Null iteration 81,201630,56.644840468600705,1,4,1.9939719268150475,1,8.543663210703674
SM,Null iteration 82,201630,56.67740791968781,1,4,1.9940273407571953,1,8.54326861173965
SM,Null iteration 83,201630,56.50156828079107,1,4,1.9939839733242102,1,8.543988454922912
SM,Null iteration 84,201630,56.53416781343411,1,4,1.9939815640223777,1,8.543927392649472
SM,Null iteration 85,201630,56.71484076791548,1,4,1.9940104756443677,1,8.54366335795408
SM,Null iteration 86,201630,56.559699670605006,1,4,1.9939839733242102,1,8.544161589691235
SM,Null iteration 87,201630,56.46392387908637,1,4,1.9939863826260427,1,8.54404435013482
SM,Null iteration 88,201630,56.110237065670965,1,4,1.9939815640223777,1,8.544337664698165
SM,Null iteration 89,201630,56.72721330758307,1,4,1.99397433611688,1,8.543938400409049
SM,Null iteration 90,201630,56.71706241344397,1,4,1.994020112851698,1,8.543755743252861
SM,Null iteration 91,201630,56.83878769504379,1,4,1.9940369779645255,1,8.542675428142646
SM,Null iteration 92,201630,56.300818411102625,1,4,1.9940080663425352,1,8.543484489991172
SM,Null iteration 93,201630,56.35568489031559,1,4,1.99397433611688,1,8.543814470000784
SM,Null iteration 94,201630,56.47312784340318,1,4,1.9939622896077174,1,8.543805829921151
SM,Null iteration 95,201630,56.95596837105321,1,4,1.9939719268150475,1,8.543760384119034
SM,Null iteration 96,201630,57.06106595445945,1,4,1.9939767454187125,1,8.544016062311401
SM,Null iteration 97,201630,56.62703199847482,1,4,1.9939719268150475,1,8.544074691855847
SM,Null iteration 98,201630,56.47249129330795,1,4,1.9939815640223777,1,8.544351738975909
SM,Null iteration 99,201630,56.72447926376987,1,4,1.993979154720545,1,8.54423343735265
SM,Null iteration 100,201630,56.6050694637572,1,4,1.9939839733242102,1,8.54413690172968
SM,Null iteration 101,201630,56.05069108538774,1,4,1.9939936105315401,1,8.544511435660477
SM,Null iteration 102,201630,56.44068816492596,1,4,1.9939767454187125,1,8.543201983562986
SM,Null iteration 103,201630,56.48945707239563,1,4,1.9939767454187125,1,8.544014510944722
SM,Null iteration 104,201630,56.741202293204665,1,4,1.9939815640223777,1,8.54372555482128
SM,Null iteration 105,201630,56.33975429124304,1,4,1.9939936105315401,1,8.54438522516068
SM,Null iteration 106,201630,56.96934732027319,1,4,1.9939887919278751,1,8.543927507413906
SM,Null iteration 107,201630,56.907494230031546,1,4,1.9939960198333726,1,8.543267158131208
SM,Null iteration 108,201630,56.51007931156546,1,4,1.9939912012297076,1,8.543676820188768
SM,Null iteration 109,201630,56.70200462692695,1,4,1.9939767454187125,1,8.543726393048608
SM,Null iteration 110,201630,56.28063452432875,1,4,1.9939960198333726,1,8.544212804602344
SM,Null iteration 111,201630,56.63666364433861,1,4,1.9939960198333726,1,8.54337094725334
SM,Null iteration 112,201630,56.64921051309688,1,4,1.9939815640223777,1,8.543498348197138
SM,Null iteration 113,201630,56.61153805332951,1,4,1.9939984291352053,1,8.543866312330504
SM,Null iteration 114,201630,56.942879288831165,1,4,1.99396469890955,1,8.543624398165392
SM,Null iteration 115,201630,56.46041584099838,1,4,1.9939719268150475,1,8.544050833105631
SM,Null iteration 116,201630,56.22120972050018,1,4,1.9939767454187125,1,8.544350682281754
SM,Null iteration 117,201630,56.56129531247127,1,4,1.9940128849462002,1,8.543490639528924
SM,Null iteration 118,201630,56.4655930832096,1,4,1.9939839733242102,1,8.544115372509477
SM,Null iteration 119,201630,56.38305672945454,1,4,1.99396469890955,1,8.544369631087832
SM,Null iteration 120,201630,56.864520354829736,1,4,1.9939671082113826,1,8.543495602127303
SM,Null iteration 121,201630,56.53919952769263,1,4,1.9939815640223777,1,8.54341555193446
SM,Null iteration 122,201630,56.6448433055092,1,4,1.9939936105315401,1,8.542943340002571
SM,Null iteration 123,201630,56.95985108045722,1,4,1.9939912012297076,1,8.543917824330133
SM,Null iteration 124,201630,56.74723569681111,1,4,1.9939767454187125,1,8.543769359870238
SM,Null iteration 125,201630,57.21378027454804,1,4,1.993979154720545,1,8.542915736327299
SM,Null iteration 126,201630,56.700784668778255,1,4,1.9939671082113826,1,8.543857052445581
SM,Null iteration 127,201630,56.51837454375806,1,4,1.9940104756443677,1,8.543303531196733
SM,Null iteration 128,201630,56.442108569488425,1,4,1.9939767454187125,1,8.54417583259785
SM,Null iteration 129,201630,56.56718236973421,1,4,1.9939671082113826,1,8.544061567961755
SM,Null iteration 130,201630,56.58049306941837,1,4,1.9939719268150475,1,8.544241521606263
SM,Null iteration 131,201630,56.747592942977796,1,4,1.993979154720545,1,8.543841977864568
SM,Null iteration 132,201630,56.54258361263294,1,4,1.9939719268150475,1,8.543896529130189
SM,Null iteration 133,201630,56.45483626435069,1,4,1.9939839733242102,1,8.54426060113678
SM,Null iteration 134,201630,56.255625496373526,1,4,1.9939887919278751,1,8.543502337366721
SM,Null iteration 135,201630,56.63021080839361,1,4,1.9940297500590278,1,8.543633654290566
SM,Null iteration 136,201630,56.37778714775528,1,4,1.9940056570407028,1,8.544352338184781
SM,Null iteration 137,201630,57.0659259019818,1,4,1.9939912012297076,1,8.54384759127182
SM,Null iteration 138,201630,56.83683399507788,1,4,1.9939960198333726,1,8.543787557646153
SM,Null iteration 139,201630,56.80794750800905,1,4,1.9939671082113826,1,8.543780222508387
SM,Null iteration 140,201630,56.797870949522206,1,4,1.9939719268150475,1,8.543596652738902
SM,Null iteration 141,201630,56.42026045778,1,4,1.9939719268150475,1,8.544326213897985
SM,Null iteration 142,201630,56.70031257472286,1,4,1.9939863826260427,1,8.5434731854008
SM,Null iteration 143,201630,56.59644494422909,1,4,1.9939984291352053,1,8.543932899076161
SM,Null iteration 144,201630,56.5477994115298,1,4,1.9939719268150475,1,8.54388282037733
SM,Null iteration 145,201630,56.48292201425929,1,4,1.9939815640223777,1,8.543955806438877
SM,Null iteration 146,201630,56.440466270216106,1,4,1.993969517513215,1,8.544099332168368
SM,Null iteration 147,201630,56.6716760424873,1,4,1.99397433611688,1,8.544425850401167
SM,Null iteration 148,201630,56.375860026745976,1,4,1.99396469890955,1,8.544646066578352
SM,Null iteration 149,201630,56.174054197592,1,4,1.993969517513215,1,8.54405750217389
SM,Null iteration 150,201630,56.838472524726185,1,4,1.9939936105315401,1,8.543623724019282
SM,Null iteration 151,201630,56.62852591167079,1,4,1.9939984291352053,1,8.543432468472284
SM,Null iteration 152,201630,56.750178009577,1,4,1.9939960198333726,1,8.542865660464308
SM,Null iteration 153,201630,56.54806873486112,1,4,1.993969517513215,1,8.544077353337215
SM,Null iteration 154,201630,56.30500801423666,1,4,1.994034568662693,1,8.5442280481701
