Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,60550,49614--sample_49614_k141_1366290,0.036319075616793164,7.436729159204352e-05,0.502470007057163
SM,60550,49614--sample_49614_k141_964555,0.027265260778020335,3.919565791557935e-05,0.4982505248425472
SM,60550,49614--sample_49614_k141_908383,0.024243913990836252,3.140499839540904e-05,0.4982505248425472
SM,60550,49614--sample_49614_k141_1673869,0.01816968737285497,1.6841505308926026e-05,0.49273356401384083
SM,60550,49614--sample_49614_k141_1427871,0.03650503471670401,7.275586303298356e-05,0.502470007057163
SM,60550,49614--sample_49614_k141_1888333,0.030378048009943825,5.034222861022283e-05,0.5010555946516537
SM,60550,49614--sample_49614_k141_2079091,0.026975161007567375,4.0652178852325565e-05,0.500351370344343
SM,60550,49614--sample_49614_k141_1420726,0.035873634547677495,7.60924587313657e-05,0.502470007057163
SM,60550,49614--sample_49614_k141_1263971,0.02107856706361018,2.341258408833285e-05,0.49685973482205165
SM,60550,49614--sample_49614_k141_1030954,0.026981091645236547,4.011034620107157e-05,0.49964912280701756
SM,60550,49614--sample_49614_k141_1613401,0.02743603806313607,3.927096672859393e-05,0.500351370344343
SM,60550,49614--sample_49614_k141_2292647,0.024391446922683722,3.175696447998084e-05,0.4982505248425472
SM,60550,49614--sample_49614_k141_1389076,0.017495364655496278,1.7028594054295905e-05,0.49002064693737096
SM,60550,49614--sample_49614_k141_1897406,0.03322978335489041,6.219678911663003e-05,0.5017618040873855
SM,60550,49614--sample_49614_k141_656736,0.0243851067426068,3.1643379294445795e-05,0.49964912280701756
SM,60550,49614--sample_49614_k141_1793862,0.03276900524296719,6.290620223444642e-05,0.5017618040873855
SM,60550,49614--sample_49614_k141_1996265,0.026963723169644408,4.1281018605873535e-05,0.49964912280701756
SM,60550,49614--sample_49614_k141_75054,0.03339390171136699,6.106270619331417e-05,0.5017618040873855
SM,60550,49614--sample_49614_k141_823274,0.03267956904447189,6.244749957739367e-05,0.5017618040873855
SM,60550,49614--sample_49614_k141_1641869,0.020592189283327223,2.3919849400630363e-05,0.4982505248425472
SM,60550,49614--sample_49614_k141_262368,0.027326595414279443,4.0771477864121896e-05,0.49964912280701756
SM,60550,49614--sample_49614_k141_1792101,0.033136278718964574,6.0515475190746655e-05,0.5010555946516537
SM,60550,49614--sample_49614_k141_1298515,0.026966034079465923,4.089099235090223e-05,0.49964912280701756
SM,60550,49614--sample_49614_k141_1578042,0.01758769882276685,1.721833748635992e-05,0.48934707903780067
SM,60550,49614--sample_49614_k141_228945,0.018207049768027974,1.6324733120438768e-05,0.4920525224602626
SM,60550,49614--sample_49614_k141_651585,0.014688258393250374,1.1639771840985936e-05,0.4846834581347856
SM,60550,49614--sample_49614_k141_1667848,0.02694238142723127,4.059534551236707e-05,0.49964912280701756
SM,60550,49614--sample_49614_k141_46532,0.029797392672722647,5.103234006627912e-05,0.5010555946516537
SM,60550,49614--sample_49614_k141_748421,0.030129275936442188,5.02237217152689e-05,0.500351370344343
SM,60550,49614--sample_49614_k141_1167240,0.030377969126020792,5.0216463758409226e-05,0.500351370344343
SM,60550,49614--sample_49614_k141_401001,0.015081267077979545,1.0822788872720363e-05,0.48336727766463
SM,60550,49614--sample_49614_k141_461285,0.032907783790366726,6.326873557523675e-05,0.5017618040873855
SM,60550,49614--sample_49614_k141_872999,0.030126347091948072,5.025174689815689e-05,0.500351370344343
SM,60550,49614--sample_49614_k141_2136151,0.029869332644429394,5.192293670420348e-05,0.5010555946516537
SM,60550,49614--sample_49614_k141_841638,0.030150209817954268,5.1495487932805915e-05,0.5010555946516537
SM,60550,49614--sample_49614_k141_1051687,0.01794307104659049,1.641373748201585e-05,0.48934707903780067
