Method,Iteration,Number of Swaps,Nestedness,Number of Connected Components,Diameter,Average Shortest Path Length,Modularity,Codelength
Prediction,Prediction,60550,69.92346190756592,7,4,2.071715063048191,1,7.643454038560085
SM,Null iteration 1,60550,51.16298087399885,1,4,2.0103298296484233,1,7.743953592740811
SM,Null iteration 2,60550,50.83744510298521,1,4,2.009297634618718,1,7.745160498113792
SM,Null iteration 3,60550,51.55587322834089,1,4,2.009069133428936,1,7.744347148059395
SM,Null iteration 4,60550,51.48611375780973,1,4,2.0086357691034875,1,7.744084395461344
SM,Null iteration 5,60550,51.27964936257306,1,4,2.007839954614936,1,7.74373772940986
SM,Null iteration 6,60550,51.354645184341805,1,4,2.010188001323731,1,7.743665582193501
SM,Null iteration 7,60550,51.586126540230495,1,4,2.0143640575507824,1,7.7415299037396785
SM,Null iteration 8,60550,50.80364308420606,1,4,2.0115038530028206,1,7.7444155552487395
SM,Null iteration 9,60550,50.321143762490166,1,4,2.008218163480782,1,7.74558435857933
SM,Null iteration 10,60550,51.256755048192716,1,4,2.0083599918054746,1,7.744741015472766
SM,Null iteration 11,60550,51.23013644586004,1,4,2.0110153332177694,1,7.7437320338186195
SM,Null iteration 12,60550,51.53665460798601,1,4,2.0116693193816286,1,7.742833223161463
SM,Null iteration 13,60550,50.19534864214244,1,4,2.0103534677025388,1,7.743555976394807
SM,Null iteration 14,60550,50.68710367391915,1,4,2.0079187481286542,1,7.745863231480716
SM,Null iteration 15,60550,50.76590871928525,1,4,2.0079187481286542,1,7.745078350907771
SM,Null iteration 16,60550,51.76935588491611,1,4,2.012197235923539,1,7.742233095496183
SM,Null iteration 17,60550,51.507782308688526,1,4,2.006390153962526,1,7.744719821503348
SM,Null iteration 18,60550,51.07044887921622,1,4,2.0099043446743465,1,7.743037882520762
SM,Null iteration 19,60550,50.8454232520168,1,4,2.011196558299321,1,7.744376849967158
SM,Null iteration 20,60550,49.176822884904,1,4,2.0086751658603466,1,7.743986462444286
SM,Null iteration 21,60550,51.19150129174417,1,4,2.0087382006713206,1,7.744079647766888
SM,Null iteration 22,60550,51.50247983435219,1,4,2.009841309863372,1,7.743813774552074
SM,Null iteration 23,60550,50.98046255175513,1,4,2.0071780890997055,1,7.746024111437978
SM,Null iteration 24,60550,51.36217907241577,1,4,2.009384307483808,1,7.743556351161869
SM,Null iteration 25,60550,51.414101404801386,1,4,2.0104480199190005,1,7.743137031231463
SM,Null iteration 26,60550,51.81680205932784,1,4,2.007304158721654,1,7.7444503431634715
SM,Null iteration 27,60550,51.296186772800496,1,4,2.009423704240667,1,7.743826465664933
SM,Null iteration 28,60550,51.49785271144144,1,4,2.009203082402257,1,7.743134510843694
SM,Null iteration 29,60550,50.99277049653553,1,4,2.0116850780843722,1,7.74484971179041
SM,Null iteration 30,60550,50.52942850010845,1,4,2.008068455804718,1,7.745909289147879
SM,Null iteration 31,60550,50.69763509316757,1,4,2.0135918811163465,1,7.74265953449766
SM,Null iteration 32,60550,51.04486259554345,1,4,2.0087460800226924,1,7.743449641249355
SM,Null iteration 33,60550,51.11064396967927,1,4,2.0092897552673463,1,7.743606224840439
SM,Null iteration 34,60550,50.4576520389518,1,4,2.010306191594308,1,7.743618114226244
SM,Null iteration 35,60550,51.47671678751729,1,4,2.0095024977543847,1,7.744058858643973
SM,Null iteration 36,60550,51.22063109033537,1,4,2.0086436484548593,1,7.743736208375994
SM,Null iteration 37,60550,51.17333215492431,1,4,2.0103298296484233,1,7.743822811791695
SM,Null iteration 38,60550,50.96555259902516,1,4,2.008958822509731,1,7.74430548217143
SM,Null iteration 39,60550,50.67645610469009,1,4,2.007879351371795,1,7.744903705900239
SM,Null iteration 40,60550,51.62464890781459,1,4,2.007485383803205,1,7.7440954558890205
SM,Null iteration 41,60550,51.431614777504315,1,4,2.0109995745150258,1,7.742075589254416
SM,Null iteration 42,60550,52.28473686352632,1,4,2.0119450966796415,1,7.74070313611621
SM,Null iteration 43,60550,51.19199859235699,1,4,2.0105583308382053,1,7.742573558408597
SM,Null iteration 44,60550,51.64878785102366,1,4,2.009991017539436,1,7.7435372965628115
SM,Null iteration 45,60550,51.08436537014026,1,4,2.0072411239106795,1,7.745768722185264
SM,Null iteration 46,60550,51.024548286690546,1,4,2.0100461729990386,1,7.744543135383678
SM,Null iteration 47,60550,52.05458274525094,1,4,2.011109885434231,1,7.741487531533344
SM,Null iteration 48,60550,51.710395656319854,1,4,2.0127409111681924,1,7.742741467597184
SM,Null iteration 49,60550,51.31336199111162,1,4,2.0080211796964873,1,7.745056698134315
SM,Null iteration 50,60550,51.357472500849276,1,4,2.0089430638069876,1,7.744346030264918
SM,Null iteration 51,60550,51.46864479877348,1,4,2.009266117213231,1,7.744226315187016
SM,Null iteration 52,60550,50.819954441911136,1,4,2.0101801219723594,1,7.743327834788291
SM,Null iteration 53,60550,51.29585193692874,1,4,2.009423704240667,1,7.743254336294449
SM,Null iteration 54,60550,51.79030751294778,1,4,2.012386340356462,1,7.741330629378561
SM,Null iteration 55,60550,51.560687379711645,1,4,2.012386340356462,1,7.7429742662249605
SM,Null iteration 56,60550,51.76707453435132,1,4,2.0129378949524876,1,7.740939645704366
SM,Null iteration 57,60550,52.10938761212047,1,4,2.0104480199190005,1,7.742372841313044
SM,Null iteration 58,60550,51.018773212846455,1,4,2.0110862473801157,1,7.744316580701799
SM,Null iteration 59,60550,50.84019015143865,1,4,2.011070488677372,1,7.743964623045465
SM,Null iteration 60,60550,51.76126979626079,1,4,2.0089509431583594,1,7.743514731944492
SM,Null iteration 61,60550,50.50433870416114,1,4,2.007272641316167,1,7.745643630860534
SM,Null iteration 62,60550,50.8816682300389,1,4,2.011803268354949,1,7.743523901185873
SM,Null iteration 63,60550,51.06172639276656,1,4,2.0082496808862693,1,7.744111579952074
SM,Null iteration 64,60550,51.28361792952877,1,4,2.008958822509731,1,7.74394741082648
SM,Null iteration 65,60550,51.113915433735855,1,4,2.0112438344075514,1,7.742585903063844
SM,Null iteration 66,60550,50.62760602943948,1,4,2.009266117213231,1,7.744683580040748
SM,Null iteration 67,60550,51.347272071219656,1,4,2.008029059047859,1,7.744690802361943
SM,Null iteration 68,60550,50.09796547923412,1,4,2.0070914162346156,1,7.746238100831454
SM,Null iteration 69,60550,50.987282583489545,1,4,2.006855035693462,1,7.746262276161079
SM,Null iteration 70,60550,51.190857728691014,1,4,2.008430905967821,1,7.744273201477261
SM,Null iteration 71,60550,50.28238380242482,1,4,2.009573411916731,1,7.7439297739893
SM,Null iteration 72,60550,50.11617049311144,1,4,2.0064374300707564,1,7.746870673043079
SM,Null iteration 73,60550,51.89523692304259,1,4,2.012339064248231,1,7.741152339564323
SM,Null iteration 74,60550,51.58886278964007,1,4,2.00816300802118,1,7.743422480239291
SM,Null iteration 75,60550,50.76632070557669,1,4,2.0087854767795514,1,7.744822514919258
SM,Null iteration 76,60550,50.59188702427447,1,4,2.0091400475912824,1,7.744015801157765
SM,Null iteration 77,60550,51.552024440879464,1,4,2.010723797217013,1,7.743625401791009
SM,Null iteration 78,60550,51.34773423416816,1,4,2.00816300802118,1,7.744720659994609
SM,Null iteration 79,60550,51.24659485581391,1,4,2.0116850780843722,1,7.7421441449293456
SM,Null iteration 80,60550,50.877745767595584,1,4,2.01185054446318,1,7.742781586775589
SM,Null iteration 81,60550,51.1256561917509,1,4,2.008880028996013,1,7.744596849441588
SM,Null iteration 82,60550,51.06532682992136,1,4,2.009754636998282,1,7.74376001569689
SM,Null iteration 83,60550,51.500004175842136,1,4,2.0110626093260002,1,7.742247743004547
SM,Null iteration 84,60550,51.95793534924095,1,4,2.0096049293222182,1,7.742035621623795
SM,Null iteration 85,60550,51.122224861849574,1,4,2.0106292450005516,1,7.742532668416164
SM,Null iteration 86,60550,51.21861721898915,1,4,2.009029736672077,1,7.743708751304041
SM,Null iteration 87,60550,50.720947395514074,1,4,2.008612131049372,1,7.7440808842850695
SM,Null iteration 88,60550,51.198204970516315,1,4,2.012457254518808,1,7.743429314196098
SM,Null iteration 89,60550,51.21798009872212,1,4,2.0110074538663976,1,7.743407619976245
SM,Null iteration 90,60550,50.73803961602445,1,4,2.007343555478513,1,7.744765221392936
SM,Null iteration 91,60550,51.076395916083285,1,4,2.009344910726949,1,7.745318100468819
SM,Null iteration 92,60550,51.59518296240561,1,4,2.010306191594308,1,7.743229426967165
SM,Null iteration 93,60550,50.392422459634226,1,4,2.010164363269616,1,7.744016824713115
SM,Null iteration 94,60550,51.28046011722472,1,4,2.0079423861827697,1,7.7445762996757965
SM,Null iteration 95,60550,51.89886209113353,1,4,2.0131269993854106,1,7.741511045743395
SM,Null iteration 96,60550,51.24714406821979,1,4,2.009163685645398,1,7.74410513381574
SM,Null iteration 97,60550,51.28768255876476,1,4,2.010377105756654,1,7.743398545406296
SM,Null iteration 98,60550,50.979456650060904,1,4,2.008880028996013,1,7.744214813756145
SM,Null iteration 99,60550,51.029967843703474,1,4,2.0084072679137055,1,7.744387921234003
SM,Null iteration 100,60550,50.15682340263525,1,4,2.009494618403013,1,7.744213217717704
SM,Null iteration 101,60550,51.57159284491453,1,4,2.0117402335439745,1,7.743055434319123
SM,Null iteration 102,60550,50.79433680673219,1,4,2.0094552216461543,1,7.743783440059416
SM,Null iteration 103,60550,51.21699043322054,1,4,2.0104086231621414,1,7.7441317480361835
SM,Null iteration 104,60550,51.01227978714091,1,4,2.0085648549411412,1,7.744804510841189
