Method,Iteration,Number of Swaps,Nestedness
Prediction,Prediction,3180,9.246282085877041
CM,Null iteration 1,3180,11.16815177775037
CM,Null iteration 2,3180,11.186031358217873
CM,Null iteration 3,3180,10.947080867363429
CM,Null iteration 4,3180,12.083329523173084
CM,Null iteration 5,3180,10.723069613034443
CM,Null iteration 6,3180,12.189555210601778
CM,Null iteration 7,3180,11.352220966033723
CM,Null iteration 8,3180,11.9058588055435
CM,Null iteration 9,3180,11.178778171999127
CM,Null iteration 10,3180,10.68820133702501
CM,Null iteration 11,3180,10.689401126267486
CM,Null iteration 12,3180,10.845615303795029
CM,Null iteration 13,3180,10.580035753719965
CM,Null iteration 14,3180,10.53194462381341
CM,Null iteration 15,3180,12.160716384297515
CM,Null iteration 16,3180,10.791570012707535
CM,Null iteration 17,3180,11.674401866761798
CM,Null iteration 18,3180,10.999519104066763
CM,Null iteration 19,3180,11.152707443606062
CM,Null iteration 20,3180,11.267315770305098
CM,Null iteration 21,3180,11.113505721782461
CM,Null iteration 22,3180,10.782406823645001
CM,Null iteration 23,3180,10.541904644524097
CM,Null iteration 24,3180,10.481619808493443
CM,Null iteration 25,3180,11.201261947150861
CM,Null iteration 26,3180,10.647419122231152
CM,Null iteration 27,3180,11.535953100851234
CM,Null iteration 28,3180,10.428147974455275
CM,Null iteration 29,3180,11.835569210211462
CM,Null iteration 30,3180,10.024480398734582
