Method,Iteration,Number of Swaps,Nestedness
Prediction,Prediction,3330,55.06344060430351
CM,Null iteration 1,3330,55.46061905873215
CM,Null iteration 2,3330,57.792022926930485
CM,Null iteration 3,3330,56.9954997836482
CM,Null iteration 4,3330,56.3794282847265
CM,Null iteration 5,3330,57.31168713296954
CM,Null iteration 6,3330,56.170479674470926
CM,Null iteration 7,3330,57.1279327861175
CM,Null iteration 8,3330,55.821322916876966
CM,Null iteration 9,3330,57.844100518619584
CM,Null iteration 10,3330,57.49897835041784
CM,Null iteration 11,3330,57.96074804892932
CM,Null iteration 12,3330,56.67621874253083
CM,Null iteration 13,3330,56.4244209766391
CM,Null iteration 14,3330,57.728476558745896
CM,Null iteration 15,3330,55.566158909212376
CM,Null iteration 16,3330,56.200251819857016
CM,Null iteration 17,3330,56.24238494740621
CM,Null iteration 18,3330,58.0524590510136
CM,Null iteration 19,3330,57.33698031280127
CM,Null iteration 20,3330,57.99773554037026
CM,Null iteration 21,3330,56.71526873412794
CM,Null iteration 22,3330,56.939569393074635
CM,Null iteration 23,3330,57.75611486758431
CM,Null iteration 24,3330,56.51457275901148
CM,Null iteration 25,3330,56.29308110614727
CM,Null iteration 26,3330,57.5061667529947
CM,Null iteration 27,3330,58.04160075028469
CM,Null iteration 28,3330,56.237119457007566
CM,Null iteration 29,3330,56.621365124000235
CM,Null iteration 30,3330,55.963969948931094
CM,Null iteration 31,3330,58.487640769841995
CM,Null iteration 32,3330,57.418779336005
CM,Null iteration 33,3330,57.2282735211938
CM,Null iteration 34,3330,57.57977172077972
CM,Null iteration 35,3330,56.69972469819986
CM,Null iteration 36,3330,55.92688534418267
CM,Null iteration 37,3330,54.04151123301075
CM,Null iteration 38,3330,57.16339022165145
CM,Null iteration 39,3330,55.78086479578347
CM,Null iteration 40,3330,58.59124148372912
CM,Null iteration 41,3330,56.701574942736855
CM,Null iteration 42,3330,57.32170583607654
CM,Null iteration 43,3330,58.0315244167881
CM,Null iteration 44,3330,56.41776093595641
CM,Null iteration 45,3330,57.2501339761523
CM,Null iteration 46,3330,56.69878614723066
CM,Null iteration 47,3330,56.876894154483395
CM,Null iteration 48,3330,56.77647203779749
CM,Null iteration 49,3330,55.71466883639756
CM,Null iteration 50,3330,54.38872823209813
CM,Null iteration 51,3330,55.94215353597107
CM,Null iteration 52,3330,56.95260917234954
CM,Null iteration 53,3330,57.765701805685964
CM,Null iteration 54,3330,57.32321464175719
CM,Null iteration 55,3330,55.439828338220146
CM,Null iteration 56,3330,57.19005230751524
CM,Null iteration 57,3330,57.994513079606094
CM,Null iteration 58,3330,56.53419588367834
CM,Null iteration 59,3330,55.525762901262354
CM,Null iteration 60,3330,55.755904141843686
CM,Null iteration 61,3330,57.341993930203856
CM,Null iteration 62,3330,57.56927836809291
CM,Null iteration 63,3330,57.19094815112165
CM,Null iteration 64,3330,57.889084966884575
CM,Null iteration 65,3330,58.39805583811763
CM,Null iteration 66,3330,57.96181326929168
CM,Null iteration 67,3330,56.0990414943671
CM,Null iteration 68,3330,56.129663055938494
CM,Null iteration 69,3330,57.354143668290334
CM,Null iteration 70,3330,57.736574037958626
CM,Null iteration 71,3330,57.679281740031435
CM,Null iteration 72,3330,58.36623920746463
CM,Null iteration 73,3330,57.05622547817228
CM,Null iteration 74,3330,54.87362659926123
CM,Null iteration 75,3330,56.97751203916693
CM,Null iteration 76,3330,58.11944800750888
CM,Null iteration 77,3330,57.601466197130506
CM,Null iteration 78,3330,55.93220072795126
CM,Null iteration 79,3330,58.16030112450887
CM,Null iteration 80,3330,56.601398328809175
CM,Null iteration 81,3330,55.82616131129225
CM,Null iteration 82,3330,57.25109172121908
CM,Null iteration 83,3330,57.67332351268452
CM,Null iteration 84,3330,57.210881007093505
CM,Null iteration 85,3330,56.74006766853719
CM,Null iteration 86,3330,56.159223516544046
CM,Null iteration 87,3330,57.729437685969444
CM,Null iteration 88,3330,55.92109836255488
CM,Null iteration 89,3330,55.57533347613658
CM,Null iteration 90,3330,56.47143983072621
CM,Null iteration 91,3330,58.148046503989946
CM,Null iteration 92,3330,57.210725531500756
CM,Null iteration 93,3330,58.78200438190251
CM,Null iteration 94,3330,53.68406778842464
CM,Null iteration 95,3330,55.93288829467528
CM,Null iteration 96,3330,57.853336293169846
CM,Null iteration 97,3330,57.030781515226664
CM,Null iteration 98,3330,57.593003854320486
CM,Null iteration 99,3330,57.48535678061999
CM,Null iteration 100,3330,56.68686044444492
CM,Null iteration 101,3330,56.27808247384778
CM,Null iteration 102,3330,56.79096676969738
CM,Null iteration 103,3330,56.55284992328094
CM,Null iteration 104,3330,56.160915205701
CM,Null iteration 105,3330,56.93045666499112
CM,Null iteration 106,3330,56.015257434745536
CM,Null iteration 107,3330,57.976644649866
CM,Null iteration 108,3330,56.69926013283779
CM,Null iteration 109,3330,56.76615291058876
CM,Null iteration 110,3330,57.30986315590344
CM,Null iteration 111,3330,58.042643576662925
CM,Null iteration 112,3330,56.420385567030934
CM,Null iteration 113,3330,55.85426849817401
CM,Null iteration 114,3330,57.43674414891107
CM,Null iteration 115,3330,56.19664638739066
CM,Null iteration 116,3330,57.35690709890585
CM,Null iteration 117,3330,56.574489661863865
CM,Null iteration 118,3330,56.7758590835558
CM,Null iteration 119,3330,55.61999853587578
CM,Null iteration 120,3330,56.41995597829438
CM,Null iteration 121,3330,56.094603525372975
CM,Null iteration 122,3330,58.527183460175664
CM,Null iteration 123,3330,56.92694481962981
CM,Null iteration 124,3330,57.05572065969052
CM,Null iteration 125,3330,56.87362794992919
CM,Null iteration 126,3330,55.89074409596492
CM,Null iteration 127,3330,56.53913266105101
CM,Null iteration 128,3330,58.223358500838586
CM,Null iteration 129,3330,56.615796000189775
CM,Null iteration 130,3330,56.449902031980656
CM,Null iteration 131,3330,56.861002879402314
CM,Null iteration 132,3330,57.376625548567944
CM,Null iteration 133,3330,58.18427119414789
CM,Null iteration 134,3330,58.8837452890832
CM,Null iteration 135,3330,55.925435536122166
CM,Null iteration 136,3330,55.574151379733394
CM,Null iteration 137,3330,57.71303360531616
CM,Null iteration 138,3330,57.864422425462095
CM,Null iteration 139,3330,57.01330350085455
CM,Null iteration 140,3330,57.976373154673986
CM,Null iteration 141,3330,56.64129059635596
CM,Null iteration 142,3330,55.2905172222911
CM,Null iteration 143,3330,57.5220835726666
CM,Null iteration 144,3330,57.636106854962975
CM,Null iteration 145,3330,56.35199538792987
CM,Null iteration 146,3330,56.214038385194655
CM,Null iteration 147,3330,56.633515086742484
CM,Null iteration 148,3330,56.79401772553361
CM,Null iteration 149,3330,57.116030272402384
CM,Null iteration 150,3330,57.88732459510555
CM,Null iteration 151,3330,57.42023662950493
CM,Null iteration 152,3330,58.12540142260403
CM,Null iteration 153,3330,56.752874227773454
CM,Null iteration 154,3330,57.320846460260164
CM,Null iteration 155,3330,56.706024607661234
CM,Null iteration 156,3330,56.33440652622248
CM,Null iteration 157,3330,56.88461169788624
CM,Null iteration 158,3330,53.93702672109788
CM,Null iteration 159,3330,58.00001618929075
CM,Null iteration 160,3330,57.231579813975976
