Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,3330,Staphylococcus_arlettae,0.11651428383546227,0.009678680962217143,0.4304635761589404
SM,3330,Staphylococcus_aureus,0.18576722370015972,0.04246489590205128,0.4744525547445255
SM,3330,Staphylococcus_auricularis,0.1463983176460844,0.03598015077682161,0.46099290780141844
SM,3330,Staphylococcus_capitis,0.09765584783174706,0.012225488079823403,0.42483660130718953
SM,3330,Staphylococcus_caprae,0.1127653093730973,0.018688868119355058,0.436241610738255
SM,3330,Staphylococcus_chromogenes,0.14051052295896047,0.029667348731782128,0.4482758620689655
SM,3330,Staphylococcus_cohnii,0.11630858923226874,0.021481221325160647,0.4421768707482993
SM,3330,Staphylococcus_epidermidis,0.13702746228644397,0.029128821897067354,0.45454545454545453
SM,3330,Staphylococcus_equorum,0.15087515882710975,0.03442307751272745,0.46099290780141844
SM,3330,Staphylococcus_fleuretti,0.12104113844505304,0.018163565677413337,0.436241610738255
SM,3330,Staphylococcus_haemolyticus,0.18772680908867748,0.05171817397851201,0.48148148148148145
SM,3330,Staphylococcus_hominis,0.13021400685077317,0.031542579133456775,0.45454545454545453
SM,3330,Staphylococcus_hyicus,0.11945827041041325,0.0193986682035944,0.4304635761589404
SM,3330,Staphylococcus_kloosii,0.1946397141441106,0.047257909740108614,0.48148148148148145
SM,3330,Staphylococcus_lentus,0.09812321656686336,0.01867995143374396,0.436241610738255
SM,3330,Staphylococcus_lugdunensis,0.11762368972166405,0.017211447089435155,0.4304635761589404
SM,3330,Staphylococcus_nepalensis,0.10711951371553478,0.014517428447135482,0.42483660130718953
SM,3330,Staphylococcus_pasteuri,0.16711762421935636,0.03770230843825256,0.4676258992805755
SM,3330,Staphylococcus_pettenkoferi,0.14934970002652379,0.03556867479137076,0.46099290780141844
SM,3330,Staphylococcus_pseudintermedius,0.11360121721471264,0.02060205745576031,0.4421768707482993
