Method,Iteration,Number of Swaps,Nestedness,Number of Connected Components,Diameter,Average Shortest Path Length,Modularity,Codelength
Prediction,Prediction,3330,55.06344060430351,4,5,2.23963133640553,1,5.64287523839491
SM,Null iteration 1,3330,34.53247187868195,1,4,2.227039627039627,1,5.964806755079182
SM,Null iteration 2,3330,32.72807617358899,1,4,2.214918414918415,1,5.972277717599129
SM,Null iteration 3,3330,33.383715459143474,1,4,2.2195804195804194,1,5.970677169375524
SM,Null iteration 4,3330,35.33601668144284,1,4,2.2167832167832167,1,5.956712186672491
SM,Null iteration 5,3330,32.645893243059234,1,4,2.232634032634033,1,5.970637155565643
SM,Null iteration 6,3330,34.9181687141122,1,4,2.2363636363636363,1,5.963362181841108
SM,Null iteration 7,3330,34.58768130518679,1,4,2.226107226107226,1,5.957761277611485
SM,Null iteration 8,3330,28.743643947478855,1,4,2.209324009324009,1,5.994586554725884
SM,Null iteration 9,3330,32.86858952513474,1,4,2.2233100233100234,1,5.970537079690739
SM,Null iteration 10,3330,33.44524473460596,1,4,2.224242424242424,1,5.970227356762957
