Method,Iteration,Number of Swaps,Nestedness
Prediction,Prediction,235560,58.191327727576336
CM,Null iteration 1,235560,58.79209449733381
CM,Null iteration 2,235560,58.769289485276836
CM,Null iteration 3,235560,58.78104792113629
CM,Null iteration 4,235560,58.78675714490767
CM,Null iteration 5,235560,58.73829781337069
CM,Null iteration 6,235560,58.77268956515995
CM,Null iteration 7,235560,58.78087853749394
CM,Null iteration 8,235560,58.81638426822699
CM,Null iteration 9,235560,58.82674349297511
CM,Null iteration 10,235560,58.782760125241964
CM,Null iteration 11,235560,58.79835079560739
CM,Null iteration 12,235560,58.80776136108707
CM,Null iteration 13,235560,58.79194969805687
CM,Null iteration 14,235560,58.818230315874345
CM,Null iteration 15,235560,58.81474312962656
CM,Null iteration 16,235560,58.82149366514133
CM,Null iteration 17,235560,58.84436772969288
CM,Null iteration 18,235560,58.73857407526059
CM,Null iteration 19,235560,58.765876120583364
CM,Null iteration 20,235560,58.79782256239085
CM,Null iteration 21,235560,58.80044994127439
CM,Null iteration 22,235560,58.81767599697717
CM,Null iteration 23,235560,58.80946033460461
CM,Null iteration 24,235560,58.86035458978413
CM,Null iteration 25,235560,58.814329046754764
CM,Null iteration 26,235560,58.829225345276825
CM,Null iteration 27,235560,58.784485237813115
CM,Null iteration 28,235560,58.753162731222936
CM,Null iteration 29,235560,58.79067975563552
CM,Null iteration 30,235560,58.761895369463204
CM,Null iteration 31,235560,58.833127890212594
CM,Null iteration 32,235560,58.8117997086149
CM,Null iteration 33,235560,58.76532437684568
CM,Null iteration 34,235560,58.79695022894694
CM,Null iteration 35,235560,58.7554707049256
CM,Null iteration 36,235560,58.83590605111109
CM,Null iteration 37,235560,58.77299100495674
CM,Null iteration 38,235560,58.809347784697955
CM,Null iteration 39,235560,58.818986750838
CM,Null iteration 40,235560,58.764296858722574
CM,Null iteration 41,235560,58.77280039083505
CM,Null iteration 42,235560,58.77868160018386
CM,Null iteration 43,235560,58.811107515909924
CM,Null iteration 44,235560,58.811434073890034
CM,Null iteration 45,235560,58.796382366144144
CM,Null iteration 46,235560,58.76410307986917
CM,Null iteration 47,235560,58.83027468259397
CM,Null iteration 48,235560,58.80649790962666
CM,Null iteration 49,235560,58.86335517080629
CM,Null iteration 50,235560,58.828667043644565
CM,Null iteration 51,235560,58.776725614572364
CM,Null iteration 52,235560,58.7786742375322
CM,Null iteration 53,235560,58.78858924824654
CM,Null iteration 54,235560,58.86404989991537
CM,Null iteration 55,235560,58.8309201886708
CM,Null iteration 56,235560,58.79795330957979
CM,Null iteration 57,235560,58.81993883854179
CM,Null iteration 58,235560,58.824897383498396
CM,Null iteration 59,235560,58.76072165275991
CM,Null iteration 60,235560,58.7577660070447
CM,Null iteration 61,235560,58.78774405390458
CM,Null iteration 62,235560,58.826976358938104
CM,Null iteration 63,235560,58.80842299033624
CM,Null iteration 64,235560,58.7869653753118
CM,Null iteration 65,235560,58.83742146456413
CM,Null iteration 66,235560,58.78105750219109
CM,Null iteration 67,235560,58.86629407538365
CM,Null iteration 68,235560,58.823447869071
CM,Null iteration 69,235560,58.776915706380265
CM,Null iteration 70,235560,58.85538327584426
CM,Null iteration 71,235560,58.80876419634848
CM,Null iteration 72,235560,58.816104856781735
CM,Null iteration 73,235560,58.787525753969206
CM,Null iteration 74,235560,58.79363376356346
CM,Null iteration 75,235560,58.79881146876711
CM,Null iteration 76,235560,58.752161568552
CM,Null iteration 77,235560,58.74573072285865
CM,Null iteration 78,235560,58.740665805409186
CM,Null iteration 79,235560,58.78423760704208
CM,Null iteration 80,235560,58.75735240722716
CM,Null iteration 81,235560,58.82492624775851
CM,Null iteration 82,235560,58.805289028510316
CM,Null iteration 83,235560,58.8127340320022
CM,Null iteration 84,235560,58.722333290336685
CM,Null iteration 85,235560,58.783114008018856
CM,Null iteration 86,235560,58.749623926623734
CM,Null iteration 87,235560,58.82733420023094
CM,Null iteration 88,235560,58.80950825720711
CM,Null iteration 89,235560,58.83349058367381
CM,Null iteration 90,235560,58.76065614282819
CM,Null iteration 91,235560,58.83964287103319
CM,Null iteration 92,235560,58.79621807462388
CM,Null iteration 93,235560,58.80486592481613
CM,Null iteration 94,235560,58.8102092342275
CM,Null iteration 95,235560,58.795260881158235
CM,Null iteration 96,235560,58.81288356372531
CM,Null iteration 97,235560,58.753266532966876
CM,Null iteration 98,235560,58.80605583444307
CM,Null iteration 99,235560,58.813345721860834
CM,Null iteration 100,235560,58.75028442108511
CM,Null iteration 101,235560,58.77851665063872
CM,Null iteration 102,235560,58.8107668563722
CM,Null iteration 103,235560,58.87343213667513
CM,Null iteration 104,235560,58.785627598661634
CM,Null iteration 105,235560,58.84340722663194
CM,Null iteration 106,235560,58.8023775090962
CM,Null iteration 107,235560,58.78646186734441
CM,Null iteration 108,235560,58.7801463564722
CM,Null iteration 109,235560,58.815768935921966
CM,Null iteration 110,235560,58.75446425880117
CM,Null iteration 111,235560,58.78674162986232
CM,Null iteration 112,235560,58.76866234141621
CM,Null iteration 113,235560,58.82496602905509
CM,Null iteration 114,235560,58.79236215573094
CM,Null iteration 115,235560,58.84247065712722
CM,Null iteration 116,235560,58.79064391336107
CM,Null iteration 117,235560,58.84157248954317
CM,Null iteration 118,235560,58.78714999056007
CM,Null iteration 119,235560,58.76856457446766
CM,Null iteration 120,235560,58.77074248926387
CM,Null iteration 121,235560,58.77808124177636
CM,Null iteration 122,235560,58.78086179188669
CM,Null iteration 123,235560,58.78991166236763
CM,Null iteration 124,235560,58.813438630451415
CM,Null iteration 125,235560,58.81660255113441
CM,Null iteration 126,235560,58.78963025119505
CM,Null iteration 127,235560,58.80543486157233
CM,Null iteration 128,235560,58.82626620341313
CM,Null iteration 129,235560,58.765772142419124
CM,Null iteration 130,235560,58.803079509471665
CM,Null iteration 131,235560,58.800409768615
CM,Null iteration 132,235560,58.79650970584375
CM,Null iteration 133,235560,58.87844378999268
CM,Null iteration 134,235560,58.75744240986339
CM,Null iteration 135,235560,58.77783077899818
CM,Null iteration 136,235560,58.77120447742807
CM,Null iteration 137,235560,58.82136928912847
CM,Null iteration 138,235560,58.780927751747804
CM,Null iteration 139,235560,58.833628967298324
CM,Null iteration 140,235560,58.756863694000515
CM,Null iteration 141,235560,58.83330506574836
CM,Null iteration 142,235560,58.80571687544086
CM,Null iteration 143,235560,58.81338055419136
CM,Null iteration 144,235560,58.79067008820361
CM,Null iteration 145,235560,58.80157784037321
CM,Null iteration 146,235560,58.84306637858546
CM,Null iteration 147,235560,58.788816205117044
CM,Null iteration 148,235560,58.78116789416639
CM,Null iteration 149,235560,58.77153398100061
CM,Null iteration 150,235560,58.803985298423115
CM,Null iteration 151,235560,58.802214904301735
CM,Null iteration 152,235560,58.845207134336476
CM,Null iteration 153,235560,58.81232611132098
CM,Null iteration 154,235560,58.80495553290808
CM,Null iteration 155,235560,58.78041517557888
CM,Null iteration 156,235560,58.77278899152983
CM,Null iteration 157,235560,58.80981933680805
CM,Null iteration 158,235560,58.796980855768425
CM,Null iteration 159,235560,58.791011473394235
CM,Null iteration 160,235560,58.84206941623951
CM,Null iteration 161,235560,58.82488958371636
CM,Null iteration 162,235560,58.785750427116206
CM,Null iteration 163,235560,58.814576983370216
CM,Null iteration 164,235560,58.79162869330851
CM,Null iteration 165,235560,58.823508465917634
CM,Null iteration 166,235560,58.77379767845162
CM,Null iteration 167,235560,58.79328691322903
CM,Null iteration 168,235560,58.81373445727532
CM,Null iteration 169,235560,58.773146260263296
CM,Null iteration 170,235560,58.73104667277944
CM,Null iteration 171,235560,58.76075270273859
CM,Null iteration 172,235560,58.785346653174656
CM,Null iteration 173,235560,58.78895541211283
CM,Null iteration 174,235560,58.779515393977846
CM,Null iteration 175,235560,58.767468127723895
CM,Null iteration 176,235560,58.82998356153817
CM,Null iteration 177,235560,58.797713481020004
CM,Null iteration 178,235560,58.77884768834451
CM,Null iteration 179,235560,58.787434693768034
CM,Null iteration 180,235560,58.781200719141026
CM,Null iteration 181,235560,58.77922124679726
CM,Null iteration 182,235560,58.79917906063527
CM,Null iteration 183,235560,58.83712282900253
CM,Null iteration 184,235560,58.849015673136705
CM,Null iteration 185,235560,58.84157201655849
CM,Null iteration 186,235560,58.766626564208316
CM,Null iteration 187,235560,58.79787957543199
CM,Null iteration 188,235560,58.7978783562746
CM,Null iteration 189,235560,58.80658835955529
CM,Null iteration 190,235560,58.822750440156206
CM,Null iteration 191,235560,58.832914690451666
CM,Null iteration 192,235560,58.803706897836776
CM,Null iteration 193,235560,58.768572527118366
CM,Null iteration 194,235560,58.803077946187074
CM,Null iteration 195,235560,58.80355697695734
CM,Null iteration 196,235560,58.81445938286191
CM,Null iteration 197,235560,58.749834997918015
CM,Null iteration 198,235560,58.79633472435488
CM,Null iteration 199,235560,58.727448120806095
CM,Null iteration 200,235560,58.73105545310309
CM,Null iteration 201,235560,58.72730578006983
CM,Null iteration 202,235560,58.80570948770937
CM,Null iteration 203,235560,58.82091726532136
CM,Null iteration 204,235560,58.81985305050106
CM,Null iteration 205,235560,58.803403263378854
CM,Null iteration 206,235560,58.762397439719756
CM,Null iteration 207,235560,58.8112915458002
CM,Null iteration 208,235560,58.81454165436742
CM,Null iteration 209,235560,58.82040477701467
CM,Null iteration 210,235560,58.81767179363799
CM,Null iteration 211,235560,58.8035355939164
CM,Null iteration 212,235560,58.7567695859756
CM,Null iteration 213,235560,58.787041408938904
CM,Null iteration 214,235560,58.812558139091266
CM,Null iteration 215,235560,58.79812340503946
CM,Null iteration 216,235560,58.847858523650814
CM,Null iteration 217,235560,58.78900390878634
CM,Null iteration 218,235560,58.79884897994644
CM,Null iteration 219,235560,58.76431006910901
CM,Null iteration 220,235560,58.79571549306921
CM,Null iteration 221,235560,58.81230129109634
CM,Null iteration 222,235560,58.80359639961196
CM,Null iteration 223,235560,58.800889962889286
CM,Null iteration 224,235560,58.76324053458549
CM,Null iteration 225,235560,58.78844299681544
CM,Null iteration 226,235560,58.800643763551435
CM,Null iteration 227,235560,58.7845287123029
CM,Null iteration 228,235560,58.7566803582407
CM,Null iteration 229,235560,58.78989470396354
CM,Null iteration 230,235560,58.789750629033094
CM,Null iteration 231,235560,58.793242124610664
CM,Null iteration 232,235560,58.80620761558397
CM,Null iteration 233,235560,58.84964221193056
CM,Null iteration 234,235560,58.82020230977845
CM,Null iteration 235,235560,58.756750663668
CM,Null iteration 236,235560,58.69877222023632
CM,Null iteration 237,235560,58.75725517360708
CM,Null iteration 238,235560,58.747605326523505
CM,Null iteration 239,235560,58.77760653795106
CM,Null iteration 240,235560,58.82888552853533
CM,Null iteration 241,235560,58.85796010770716
CM,Null iteration 242,235560,58.785560984485016
CM,Null iteration 243,235560,58.76097993551264
CM,Null iteration 244,235560,58.865732044120435
CM,Null iteration 245,235560,58.79870549833204
CM,Null iteration 246,235560,58.823284693982565
CM,Null iteration 247,235560,58.78764258103472
CM,Null iteration 248,235560,58.79392881023814
CM,Null iteration 249,235560,58.760696851212515
CM,Null iteration 250,235560,58.81546718500027
CM,Null iteration 251,235560,58.81696521211079
CM,Null iteration 252,235560,58.8539216719191
CM,Null iteration 253,235560,58.83555829975537
CM,Null iteration 254,235560,58.80291463381144
CM,Null iteration 255,235560,58.81103068382667
CM,Null iteration 256,235560,58.70828166708413
CM,Null iteration 257,235560,58.81581713393549
CM,Null iteration 258,235560,58.83281877476243
CM,Null iteration 259,235560,58.848688322203856
CM,Null iteration 260,235560,58.75814121143048
CM,Null iteration 261,235560,58.745292795395656
CM,Null iteration 262,235560,58.774820406739366
CM,Null iteration 263,235560,58.82899700179898
CM,Null iteration 264,235560,58.811842651636695
CM,Null iteration 265,235560,58.79443913073165
CM,Null iteration 266,235560,58.80740594428871
CM,Null iteration 267,235560,58.805247546610474
CM,Null iteration 268,235560,58.756789394982746
CM,Null iteration 269,235560,58.75246313677573
CM,Null iteration 270,235560,58.74918282332307
CM,Null iteration 271,235560,58.79129548014933
CM,Null iteration 272,235560,58.79522826409459
CM,Null iteration 273,235560,58.79758029745922
CM,Null iteration 274,235560,58.788323528807055
CM,Null iteration 275,235560,58.755578770916614
CM,Null iteration 276,235560,58.769382437158484
CM,Null iteration 277,235560,58.78750310210506
CM,Null iteration 278,235560,58.773529504277505
CM,Null iteration 279,235560,58.805581758536846
CM,Null iteration 280,235560,58.78999138702106
CM,Null iteration 281,235560,58.79444089034218
CM,Null iteration 282,235560,58.754012698287866
CM,Null iteration 283,235560,58.78575953651485
CM,Null iteration 284,235560,58.78619362686077
CM,Null iteration 285,235560,58.784694712729134
CM,Null iteration 286,235560,58.807459469028345
CM,Null iteration 287,235560,58.78969147119074
CM,Null iteration 288,235560,58.788654893966665
CM,Null iteration 289,235560,58.72958490382963
CM,Null iteration 290,235560,58.79801074503511
CM,Null iteration 291,235560,58.811201368962784
CM,Null iteration 292,235560,58.79894943614802
CM,Null iteration 293,235560,58.78700594865941
CM,Null iteration 294,235560,58.7730621911584
CM,Null iteration 295,235560,58.84173996535189
CM,Null iteration 296,235560,58.73983497466311
CM,Null iteration 297,235560,58.83678432642502
CM,Null iteration 298,235560,58.7853413781837
CM,Null iteration 299,235560,58.834005770104255
CM,Null iteration 300,235560,58.81208444488722
CM,Null iteration 301,235560,58.806234362623805
CM,Null iteration 302,235560,58.790708511627095
CM,Null iteration 303,235560,58.82107002868331
CM,Null iteration 304,235560,58.76257634012768
CM,Null iteration 305,235560,58.86724464392044
CM,Null iteration 306,235560,58.77980792651253
CM,Null iteration 307,235560,58.788986946330105
CM,Null iteration 308,235560,58.77855226768659
CM,Null iteration 309,235560,58.79335697928025
CM,Null iteration 310,235560,58.79804270901161
CM,Null iteration 311,235560,58.7570800426493
CM,Null iteration 312,235560,58.83936661996734
CM,Null iteration 313,235560,58.84115298754631
CM,Null iteration 314,235560,58.743492842087804
CM,Null iteration 315,235560,58.790353144609405
CM,Null iteration 316,235560,58.805524855995436
CM,Null iteration 317,235560,58.809387191656
CM,Null iteration 318,235560,58.786620408285906
CM,Null iteration 319,235560,58.76119803126565
CM,Null iteration 320,235560,58.81343867261879
CM,Null iteration 321,235560,58.77013477039512
CM,Null iteration 322,235560,58.772361648724136
CM,Null iteration 323,235560,58.81183881284322
CM,Null iteration 324,235560,58.82584067992063
CM,Null iteration 325,235560,58.85232153527211
CM,Null iteration 326,235560,58.815283429213835
CM,Null iteration 327,235560,58.80235636337322
CM,Null iteration 328,235560,58.82957056567359
CM,Null iteration 329,235560,58.772609244752886
CM,Null iteration 330,235560,58.77512113772053
CM,Null iteration 331,235560,58.78059772603446
CM,Null iteration 332,235560,58.80003698233818
CM,Null iteration 333,235560,58.7489412490503
CM,Null iteration 334,235560,58.80922946837487
CM,Null iteration 335,235560,58.775438703164625
CM,Null iteration 336,235560,58.78533404426011
CM,Null iteration 337,235560,58.86088746575043
CM,Null iteration 338,235560,58.805861602699096
CM,Null iteration 339,235560,58.80417748641909
CM,Null iteration 340,235560,58.732107050002725
CM,Null iteration 341,235560,58.770609984289564
CM,Null iteration 342,235560,58.75343870798686
CM,Null iteration 343,235560,58.78553846999931
CM,Null iteration 344,235560,58.776379326366836
CM,Null iteration 345,235560,58.798879445611234
CM,Null iteration 346,235560,58.83204536307858
CM,Null iteration 347,235560,58.846529255954884
CM,Null iteration 348,235560,58.768318300141416
CM,Null iteration 349,235560,58.76034549337244
CM,Null iteration 350,235560,58.7987727018747
CM,Null iteration 351,235560,58.75306096219204
CM,Null iteration 352,235560,58.80680169186735
CM,Null iteration 353,235560,58.75148049720302
CM,Null iteration 354,235560,58.76818609925539
CM,Null iteration 355,235560,58.755542476497
CM,Null iteration 356,235560,58.80198997135251
CM,Null iteration 357,235560,58.816096387577545
CM,Null iteration 358,235560,58.79078939530376
CM,Null iteration 359,235560,58.785788066305045
CM,Null iteration 360,235560,58.749700910927785
CM,Null iteration 361,235560,58.81588161640161
CM,Null iteration 362,235560,58.79157187890987
CM,Null iteration 363,235560,58.82889803811068
CM,Null iteration 364,235560,58.83265141142269
CM,Null iteration 365,235560,58.7790111053495
CM,Null iteration 366,235560,58.754703817068574
CM,Null iteration 367,235560,58.800831711753446
CM,Null iteration 368,235560,58.805078105418545
CM,Null iteration 369,235560,58.838748535716405
CM,Null iteration 370,235560,58.77268260797376
CM,Null iteration 371,235560,58.774807815136995
CM,Null iteration 372,235560,58.80123601122715
CM,Null iteration 373,235560,58.776519151151916
CM,Null iteration 374,235560,58.765595315701844
CM,Null iteration 375,235560,58.792663680301985
CM,Null iteration 376,235560,58.76819315173933
CM,Null iteration 377,235560,58.81468682408263
CM,Null iteration 378,235560,58.86426557419457
CM,Null iteration 379,235560,58.77418152432561
CM,Null iteration 380,235560,58.78496695195709
CM,Null iteration 381,235560,58.864077494118945
CM,Null iteration 382,235560,58.7506507616616
CM,Null iteration 383,235560,58.78491097422681
CM,Null iteration 384,235560,58.748631283330994
CM,Null iteration 385,235560,58.742101775545414
CM,Null iteration 386,235560,58.8245614621776
CM,Null iteration 387,235560,58.799941970379685
CM,Null iteration 388,235560,58.828075434035114
CM,Null iteration 389,235560,58.83335659380947
CM,Null iteration 390,235560,58.78055281965494
CM,Null iteration 391,235560,58.72567807386241
CM,Null iteration 392,235560,58.836806615857256
CM,Null iteration 393,235560,58.80626318503897
