Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_60400.fasta,0.01594936882764549,8.834839552133641e-06,0.49927395934172314
SM,235560,Contig_303000.fasta,0.007967134851244577,1.9521879011503528e-06,0.48427230046948355
SM,235560,Contig_58480.fasta,0.01845414058936932,1.213811863523028e-05,0.4997577519379845
SM,235560,Contig_547953.fasta,0.01449268351274147,7.540339361629334e-06,0.49927395934172314
SM,235560,Contig_501261.fasta,0.01852820345037557,1.2276932472750411e-05,0.5002424830261881
SM,235560,Contig_59812.fasta,0.014541189420561103,7.387789396249392e-06,0.49830917874396136
SM,235560,Contig_137842.fasta,0.010625372863072953,3.799767235782473e-06,0.4949616122840691
SM,235560,Contig_305555.fasta,0.009198787877942705,2.8143709431993745e-06,0.49048977650974795
SM,235560,Contig_1064437.fasta,0.01721301796999151,1.04137992948283e-05,0.4997577519379845
SM,235560,Contig_302768.fasta,0.01584034954661465,8.848467127364348e-06,0.49951573849878933
SM,235560,Contig_308773.fasta,0.022451000185363584,1.834106388779539e-05,0.5009713453132588
SM,235560,Contig_548846.fasta,0.017201103991997865,1.0447979267588694e-05,0.4997577519379845
SM,235560,Contig_367992.fasta,0.018362875979397477,1.244466025546701e-05,0.5002424830261881
SM,235560,Contig_2515.fasta,0.01320970889218746,6.0444617030969234e-06,0.496868978805395
SM,235560,Contig_139114.fasta,0.013203674100734829,6.090947786476126e-06,0.49782818532818535
SM,235560,Contig_1118110.fasta,0.014596318088728383,7.522369533866448e-06,0.49903241412675375
SM,235560,Contig_499911.fasta,0.021140829640469618,1.634180202202869e-05,0.5007281553398059
SM,235560,Contig_552124.fasta,0.012037320882240618,4.81908282129039e-06,0.496390760346487
SM,235560,Contig_133566.fasta,0.01720707635462803,1.0559791287771359e-05,0.5
SM,235560,Contig_131655.fasta,0.013129035106634426,6.05608043434515e-06,0.49734811957569913
SM,235560,Contig_550217.fasta,0.01057525344263779,3.851383877094499e-06,0.4956751561749159
SM,235560,Contig_1065858.fasta,0.018606722354866243,1.2205877141423834e-05,0.5002424830261881
SM,235560,Contig_502682.fasta,0.014655154322189456,7.411730343279991e-06,0.49830917874396136
SM,235560,Contig_59781.fasta,0.015783438869082803,9.024595575364009e-06,0.49927395934172314
SM,235560,Contig_544167.fasta,0.01588152397259561,8.802233076168335e-06,0.49903241412675375
SM,235560,Contig_500923.fasta,0.01068463685753401,3.6186458408999943e-06,0.49425011978917105
SM,235560,Contig_53423.fasta,0.015931385239621693,8.89973372511361e-06,0.49927395934172314
SM,235560,Contig_54970.fasta,0.022505326365062566,1.8392580073096358e-05,0.5009713453132588
SM,235560,Contig_371293.fasta,0.015908066703061927,8.728553352207275e-06,0.49879110251450676
SM,235560,Contig_368039.fasta,0.021279098471848015,1.6250952826072747e-05,0.5007281553398059
SM,235560,Contig_139681.fasta,0.015928428455290577,8.834615382001931e-06,0.49903241412675375
SM,235560,Contig_139250.fasta,0.02112482786901695,1.6272274484722738e-05,0.5007281553398059
SM,235560,Contig_55970.fasta,0.014509631124640198,7.393506993594106e-06,0.49903241412675375
SM,235560,Contig_370642.fasta,0.01874143295194447,1.2226479150869009e-05,0.5002424830261881
SM,235560,Contig_424505.fasta,0.011948631606522847,4.912716708481289e-06,0.496390760346487
SM,235560,Contig_1064106.fasta,0.017225877902766057,1.0397465355571061e-05,0.4997577519379845
SM,235560,Contig_53687.fasta,0.013295658380001957,6.117151295748775e-06,0.49734811957569913
SM,235560,Contig_988292.fasta,0.011949437576921225,4.881107909298671e-06,0.49734811957569913
SM,235560,Contig_2.fasta,0.013244355476664136,5.9531631854904556e-06,0.49734811957569913
SM,235560,Contig_55746.fasta,0.017132945451596153,1.047152575673821e-05,0.4997577519379845
SM,235560,Contig_370874.fasta,0.015782499743117937,8.9286211392588e-06,0.49903241412675375
SM,235560,Contig_62202.fasta,0.0117789229892345,4.917413425641071e-06,0.496868978805395
SM,235560,Contig_131826.fasta,0.018566379450377743,1.2103844444005272e-05,0.5
