Method,Iteration,Number of Swaps,Nestedness,Number of Connected Components,Diameter,Average Shortest Path Length,Modularity,Codelength
Prediction,Prediction,235560,58.191327727576336,99,4,2.212529023941354,99,8.683096424191405
SM,Null iteration 1,235560,44.57493671701566,1,4,2.0087270363397924,1,8.82913214981672
SM,Null iteration 2,235560,44.828914631265064,1,4,2.0093489198766004,1,8.828562536531509
SM,Null iteration 3,235560,44.83032041789444,1,4,2.0085194286938193,1,8.828981809370314
SM,Null iteration 4,235560,44.60978448971395,1,4,2.008909280155715,1,8.82906557089532
SM,Null iteration 5,235560,44.94341508219755,1,4,2.010095743761437,1,8.827814512415358
SM,Null iteration 6,235560,45.22576439333383,1,4,2.009864651087639,1,8.827401060590699
SM,Null iteration 7,235560,44.49946397703667,1,4,2.0094193749600753,1,8.828514136459637
SM,Null iteration 8,235560,44.564094129898265,1,4,2.0098101658230845,1,8.82857383043478
SM,Null iteration 9,235560,44.67861245107407,1,4,2.0089487350024613,1,8.828606607519012
SM,Null iteration 10,235560,44.55008965477637,1,4,2.008727975740906,1,8.829362039458719
