Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_60400.fasta,0.018291361327179838,1.2280160127415438e-05,0.5002424830261881
SM,235560,Contig_303000.fasta,0.014462373192107834,7.292873009899832e-06,0.49903241412675375
SM,235560,Contig_58480.fasta,0.010608628928816298,3.6650222307036413e-06,0.4933046389287422
SM,235560,Contig_547953.fasta,0.015961416279493344,8.816993196425265e-06,0.49927395934172314
SM,235560,Contig_501261.fasta,0.014332422083159062,7.358035497813171e-06,0.49879110251450676
SM,235560,Contig_59812.fasta,0.011924180074270383,4.827107704513044e-06,0.496390760346487
SM,235560,Contig_137842.fasta,0.01708989719563678,1.0413486241760116e-05,0.49951573849878933
SM,235560,Contig_305555.fasta,0.013354404525838103,5.915288715654988e-06,0.49758803666184276
SM,235560,Contig_1064437.fasta,0.013221236946760006,6.103578612798102e-06,0.49758803666184276
SM,235560,Contig_302768.fasta,0.013173675784010548,6.031381448280283e-06,0.49782818532818535
SM,235560,Contig_308773.fasta,0.014587648084387759,7.292064022323925e-06,0.49855002416626387
SM,235560,Contig_548846.fasta,0.013103855811081496,6.075020384601198e-06,0.49758803666184276
SM,235560,Contig_367992.fasta,0.013372366046725159,6.087132246256426e-06,0.49806856591018833
SM,235560,Contig_2515.fasta,0.014564503818141233,7.346203756492714e-06,0.49830917874396136
SM,235560,Contig_139114.fasta,0.02109135245245947,1.5934327648741228e-05,0.5004852013585638
SM,235560,Contig_1118110.fasta,0.0144609970302122,7.2716220747059065e-06,0.49855002416626387
SM,235560,Contig_499911.fasta,0.009282486305603545,2.8104160125202255e-06,0.4914244878513578
SM,235560,Contig_552124.fasta,0.012987860463358834,6.237790775718699e-06,0.49734811957569913
SM,235560,Contig_133566.fasta,0.017268073988421867,1.0239266700900164e-05,0.49927395934172314
SM,235560,Contig_131655.fasta,0.017221896581536784,1.0532189655096818e-05,0.5
SM,235560,Contig_550217.fasta,0.018504085350046526,1.2133713607030518e-05,0.4997577519379845
SM,235560,Contig_1065858.fasta,0.013185641662664525,6.063100663314647e-06,0.49758803666184276
SM,235560,Contig_502682.fasta,0.011973667061574671,4.846850926319314e-06,0.49591346153846155
SM,235560,Contig_59781.fasta,0.018531618508918872,1.2189410418392832e-05,0.5
SM,235560,Contig_544167.fasta,0.01852753723006274,1.2125248377613817e-05,0.5
SM,235560,Contig_500923.fasta,0.009258590610695873,2.836446365860482e-06,0.4916587225929457
SM,235560,Contig_53423.fasta,0.010479637529189845,3.848262299340745e-06,0.4956751561749159
SM,235560,Contig_54970.fasta,0.014614063671594978,7.4465744917765936e-06,0.49903241412675375
SM,235560,Contig_371293.fasta,0.02627705619706844,2.571589509759802e-05,0.5017023346303502
SM,235560,Contig_368039.fasta,0.014603035482076457,7.416280918025957e-06,0.49830917874396136
SM,235560,Contig_139681.fasta,0.01332940426613285,6.0458987488479165e-06,0.49806856591018833
SM,235560,Contig_139250.fasta,0.01708095178427492,1.057143377604705e-05,0.4997577519379845
SM,235560,Contig_55970.fasta,0.014689716473454944,7.280986556858661e-06,0.49855002416626387
SM,235560,Contig_370642.fasta,0.00910691036425842,2.8148866999812954e-06,0.48955861414333174
SM,235560,Contig_424505.fasta,0.021327324152878267,1.6083436439092414e-05,0.5007281553398059
SM,235560,Contig_1064106.fasta,0.011891814294289491,4.777078321949942e-06,0.49519923187710035
SM,235560,Contig_53687.fasta,0.010651646116778239,3.81743557366114e-06,0.49519923187710035
SM,235560,Contig_988292.fasta,0.018635574463071892,1.2144429912267736e-05,0.5
SM,235560,Contig_2.fasta,0.013337395478300899,6.1414333923092375e-06,0.49903241412675375
SM,235560,Contig_55746.fasta,0.02110431406538465,1.6061091560431872e-05,0.5007281553398059
SM,235560,Contig_370874.fasta,0.02104821713022808,1.6089838089594348e-05,0.5004852013585638
SM,235560,Contig_62202.fasta,0.01850984693826001,1.2131519885048849e-05,0.5
SM,235560,Contig_131826.fasta,0.019909753288842893,1.4065638438467317e-05,0.5004852013585638
SM,235560,Contig_60972.fasta,0.011995756081312103,4.758011182246546e-06,0.4949616122840691
SM,235560,Contig_502426.fasta,0.01588825869222887,9.043151726379102e-06,0.49951573849878933
SM,235560,Contig_302574.fasta,0.011879314831517947,4.905853985212592e-06,0.49662975445353874
SM,235560,Contig_369922.fasta,0.02519452960736594,2.2943428876514872e-05,0.5014584346135148
SM,235560,Contig_56774.fasta,0.014512333833516881,7.436488867858849e-06,0.49903241412675375
SM,235560,Contig_53586.fasta,0.017244166706952488,1.0393371088824215e-05,0.4997577519379845
SM,235560,Contig_305448.fasta,0.018527257490161295,1.2184023906381761e-05,0.5
SM,235560,Contig_423780.fasta,0.016927080783380608,1.057105004314749e-05,0.49951573849878933
SM,235560,Contig_368225.fasta,0.021172012968049683,1.6204820017952076e-05,0.5007281553398059
SM,235560,Contig_498426.fasta,0.01591507298903526,8.71659010336689e-06,0.49879110251450676
SM,235560,Contig_543905.fasta,0.01854149080014767,1.2043081913232373e-05,0.5
SM,235560,Contig_799449.fasta,0.01602369415656672,8.750388913862086e-06,0.49927395934172314
SM,235560,Contig_307703.fasta,0.017259074374477594,1.0480788349269145e-05,0.4997577519379845
SM,235560,Contig_135212.fasta,0.011758475700748726,4.889798927082619e-06,0.496390760346487
SM,235560,Contig_542656.fasta,0.01976475648424319,1.4158539273259276e-05,0.5004852013585638
SM,235560,Contig_368570.fasta,0.018630728219561063,1.2098062042448187e-05,0.5
SM,235560,Contig_58171.fasta,0.015742652678629128,8.71080723009132e-06,0.49782818532818535
SM,235560,Contig_989217.fasta,0.011815137580375903,4.891403390423076e-06,0.496390760346487
SM,235560,Contig_24573992.fasta,0.00788398045073643,1.999886002966589e-06,0.4824602432179607
SM,235560,Contig_422441.fasta,0.01718105787300207,1.0423072938722416e-05,0.49951573849878933
SM,235560,Contig_58619.fasta,0.006463482682474272,1.3186710399254837e-06,0.4682251475261008
SM,235560,Contig_55786.fasta,0.016064796353870377,8.64216305959608e-06,0.49855002416626387
SM,235560,Contig_84.fasta,0.017117984266023532,1.0497457126337391e-05,0.5
SM,235560,Contig_302648.fasta,0.018510081812216757,1.2218729169561825e-05,0.5
SM,235560,Contig_56021.fasta,0.015921859597398787,8.946886863172178e-06,0.49951573849878933
SM,235560,Contig_500040.fasta,0.013259213603571449,6.172173480020988e-06,0.49782818532818535
SM,235560,Contig_1066208.fasta,0.014578559351616695,7.340193289452772e-06,0.49830917874396136
SM,235560,Contig_56448.fasta,0.010656468565107647,3.732382703179623e-06,0.49283325370281894
SM,235560,Contig_211575.fasta,0.015867723856317864,8.774042540656762e-06,0.49903241412675375
SM,235560,Contig_58270.fasta,0.009289903871435305,2.807233883900707e-06,0.48770685579196216
SM,235560,Contig_501846.fasta,0.009256169095188064,2.840145693782824e-06,0.4916587225929457
SM,235560,Contig_542512.fasta,0.012045232347562327,4.701935620219991e-06,0.49448705656759345
SM,235560,Contig_134156.fasta,0.015558117638434352,9.012806590874364e-06,0.49951573849878933
SM,235560,Contig_24575311.fasta,0.009279832480460971,2.7793065969029867e-06,0.49002375296912115
SM,235560,Contig_56365.fasta,0.014520143974472292,7.516933838803835e-06,0.49903241412675375
SM,235560,Contig_24577067.fasta,0.014589861783579981,7.419735979193237e-06,0.49903241412675375
SM,235560,Contig_302549.fasta,0.01856601432776441,1.2203768669997619e-05,0.4997577519379845
SM,235560,Contig_61598.fasta,0.011935798560046394,4.828561378554528e-06,0.49662975445353874
SM,235560,Contig_57982.fasta,0.011989924588969164,4.873694885832543e-06,0.496868978805395
SM,235560,Contig_367952.fasta,0.017167189555490986,1.0635383378206782e-05,0.5
SM,235560,Contig_548080.fasta,0.017113624911944715,1.060129139940035e-05,0.5
SM,235560,Contig_55623.fasta,0.014624342427856653,7.287958369873665e-06,0.49855002416626387
SM,235560,Contig_56982.fasta,0.01453290089817585,7.374163319490852e-06,0.49782818532818535
SM,235560,Contig_1066315.fasta,0.011857965669542343,4.751458825151176e-06,0.49543707973102785
SM,235560,Contig_369802.fasta,0.014550534718141814,7.435015971616499e-06,0.49903241412675375
SM,235560,Contig_132276.fasta,0.014549514721194699,7.448354964653973e-06,0.49855002416626387
SM,235560,Contig_985545.fasta,0.013145272206496195,6.138895925263888e-06,0.49806856591018833
SM,235560,Contig_56278.fasta,0.01713079342938794,1.0555438712698033e-05,0.4997577519379845
SM,235560,Contig_61852.fasta,0.007862680828914259,2.0048758814169233e-06,0.4858690532265662
SM,235560,Contig_985500.fasta,0.011900869307695374,4.9029299866847984e-06,0.49662975445353874
SM,235560,Contig_499607.fasta,0.009390193209461434,2.750743744108312e-06,0.48909435751541014
SM,235560,Contig_2240.fasta,0.0158915086611577,8.81256722290689e-06,0.49951573849878933
SM,235560,Contig_370216.fasta,0.018384317578700998,1.2257900406196845e-05,0.5002424830261881
SM,235560,Contig_309063.fasta,0.013147062021875128,6.020652675641226e-06,0.49734811957569913
SM,235560,Contig_57285.fasta,0.014671175562407593,7.358447000819414e-06,0.49927395934172314
SM,235560,Contig_3691.fasta,0.01849026828433907,1.2378964464634088e-05,0.5002424830261881
SM,235560,Contig_59029.fasta,0.011923640621682009,4.957447753094807e-06,0.496390760346487
SM,235560,Contig_3240.fasta,0.021166406655905086,1.6034903794044402e-05,0.5004852013585638
SM,235560,Contig_56285.fasta,0.015908702974744414,8.872651309747077e-06,0.49927395934172314
SM,235560,Contig_371253.fasta,0.009090362191296282,2.7714403530499627e-06,0.4872461029759093
SM,235560,Contig_1263041.fasta,0.015830235653508495,8.840579405352791e-06,0.49903241412675375
SM,235560,Contig_138129.fasta,0.018340053105133335,1.2063475686202741e-05,0.49951573849878933
SM,235560,Contig_302755.fasta,0.01328192345616931,5.934304386693811e-06,0.49806856591018833
SM,235560,Contig_544576.fasta,0.01592222321832976,8.77162618209671e-06,0.49951573849878933
SM,235560,Contig_278.fasta,0.014724904943566328,7.2284771786799755e-06,0.49806856591018833
SM,235560,Contig_131695.fasta,0.017025960056823,1.0423257714087885e-05,0.4997577519379845
SM,235560,Contig_548245.fasta,0.014706562500828455,7.270870021903022e-06,0.49903241412675375
SM,235560,Contig_1065632.fasta,0.0183144917601913,1.2271962506305677e-05,0.5002424830261881
SM,235560,Contig_55072.fasta,0.011826400977727703,4.813096412531439e-06,0.49662975445353874
SM,235560,Contig_204149.fasta,0.01990104237632835,1.4208457972628887e-05,0.5004852013585638
SM,235560,Contig_369610.fasta,0.013122756557137641,6.0198756075034026e-06,0.49710843373493974
SM,235560,Contig_498487.fasta,0.01988351298679026,1.4141222570005153e-05,0.5004852013585638
SM,235560,Contig_201047.fasta,0.02244018838130364,1.8398778463266385e-05,0.5009713453132588
SM,235560,Contig_136690.fasta,0.014485650431755431,7.455037518063957e-06,0.49855002416626387
SM,235560,Contig_550313.fasta,0.013105871899006145,6.015792535810014e-06,0.49806856591018833
SM,235560,Contig_60291.fasta,0.014452757634981028,7.372498922805946e-06,0.49806856591018833
SM,235560,Contig_370828.fasta,0.013301399082525606,6.032900322005636e-06,0.496390760346487
SM,235560,Contig_139853.fasta,0.014444963401416834,7.27185667381944e-06,0.496868978805395
SM,235560,Contig_57005.fasta,0.015797395330085846,8.888494682826952e-06,0.4997577519379845
SM,235560,Contig_1062860.fasta,0.01594242566894338,8.904477305373341e-06,0.4997577519379845
SM,235560,Contig_543959.fasta,0.010635007271830792,3.834038472248673e-06,0.4940134099616858
SM,235560,Contig_53626.fasta,0.01326099319550561,6.014677276146602e-06,0.49830917874396136
SM,235560,Contig_54373.fasta,0.015797148312973793,8.933178440905156e-06,0.49951573849878933
SM,235560,Contig_549101.fasta,0.014438911050048563,7.515688913313508e-06,0.49903241412675375
SM,235560,Contig_371402.fasta,0.011829014543209858,4.8227430953329235e-06,0.49591346153846155
SM,235560,Contig_421838.fasta,0.018636578756728552,1.2263235735042068e-05,0.5002424830261881
SM,235560,Contig_1128005.fasta,0.013221054167418063,6.095754552224036e-06,0.49806856591018833
SM,235560,Contig_368554.fasta,0.01575800582004332,8.897854722783264e-06,0.4997577519379845
SM,235560,Contig_58584.fasta,0.014474005623350755,7.384354946358261e-06,0.49927395934172314
SM,235560,Contig_368185.fasta,0.018472051991843614,1.2221509489164435e-05,0.5
SM,235560,Contig_707918.fasta,0.01578489619666305,8.859728631284198e-06,0.49903241412675375
SM,235560,Contig_992623.fasta,0.01733850302452359,1.0444559534835168e-05,0.4997577519379845
SM,235560,Contig_1062938.fasta,0.021226647005209036,1.5989171195475184e-05,0.5004852013585638
SM,235560,Contig_133910.fasta,0.017151738836559932,1.048897016532522e-05,0.4997577519379845
SM,235560,Contig_136735.fasta,0.011945244729318186,4.80283285338778e-06,0.49710843373493974
SM,235560,Contig_133582.fasta,0.015969929095712977,8.944534746490958e-06,0.49927395934172314
SM,235560,Contig_303771.fasta,0.014549705339735078,7.342143601898476e-06,0.49927395934172314
SM,235560,Contig_542493.fasta,0.014641724665892348,7.2265045053245355e-06,0.49830917874396136
SM,235560,Contig_370277.fasta,0.01580974814408476,8.88626329656401e-06,0.49951573849878933
SM,235560,Contig_422210.fasta,0.015966931033184136,8.697719122139295e-06,0.4997577519379845
SM,235560,Contig_53810.fasta,0.014709536129185692,7.431208378332647e-06,0.49927395934172314
SM,235560,Contig_54994.fasta,0.011888480241450167,4.900011184044517e-06,0.4956751561749159
SM,235560,Contig_54506.fasta,0.011946182318613528,4.7504942077462686e-06,0.49591346153846155
SM,235560,Contig_24570062.fasta,0.02260642793126687,1.800914015288345e-05,0.5009713453132588
SM,235560,Contig_502567.fasta,0.013230264741568073,6.054665815308655e-06,0.49879110251450676
SM,235560,Contig_985561.fasta,0.01437659795760401,7.22994611133233e-06,0.49758803666184276
SM,235560,Contig_54969.fasta,0.013352390393496621,5.896832156908708e-06,0.4949616122840691
SM,235560,Contig_135393.fasta,0.01451218867616193,7.365218638573725e-06,0.49879110251450676
SM,235560,Contig_132217.fasta,0.014447244918235111,7.5096267285784215e-06,0.49903241412675375
SM,235560,Contig_61833.fasta,0.012122830345953082,4.848538049316056e-06,0.49710843373493974
SM,235560,Contig_499666.fasta,0.013203871880146946,6.16239925233214e-06,0.49855002416626387
SM,235560,Contig_62792.fasta,0.015621146159665185,8.796282353246588e-06,0.49903241412675375
SM,235560,Contig_1065841.fasta,0.017232465730963945,1.0518135092367638e-05,0.49927395934172314
SM,235560,Contig_134869.fasta,0.014650420362845081,7.405879916001433e-06,0.49903241412675375
SM,235560,Contig_555468.fasta,0.018555907224154043,1.2195970708780405e-05,0.5
SM,235560,Contig_367976.fasta,0.01596205781389024,8.894503603153372e-06,0.4997577519379845
SM,235560,Contig_55642.fasta,0.01452803380224492,7.382270729960349e-06,0.49951573849878933
SM,235560,Contig_58349.fasta,0.01983605749996798,1.3878299320266552e-05,0.5002424830261881
SM,235560,Contig_136319.fasta,0.011838476030922368,4.837805861047536e-06,0.4961519961519962
SM,235560,Contig_131609.fasta,0.010584324452337899,3.828684927142492e-06,0.49425011978917105
SM,235560,Contig_420267.fasta,0.017219618306309803,1.0368102646790071e-05,0.49951573849878933
SM,235560,Contig_368748.fasta,0.013287244731058115,5.988947675881609e-06,0.49758803666184276
SM,235560,Contig_1065496.fasta,0.011779518751028653,4.849369952393665e-06,0.49591346153846155
SM,235560,Contig_2120.fasta,0.014343257690744182,7.505186286761535e-06,0.49879110251450676
SM,235560,Contig_368399.fasta,0.011866893229072415,4.872890840616066e-06,0.49591346153846155
SM,235560,Contig_367933.fasta,0.0171229729532161,1.0516899378058458e-05,0.49951573849878933
SM,235560,Contig_24566365.fasta,0.007963308607861938,1.982656245856368e-06,0.4817842129845866
SM,235560,Contig_985209.fasta,0.013202060849833087,5.994188079592543e-06,0.49830917874396136
SM,235560,Contig_371176.fasta,0.009350946928697385,2.8618504853310653e-06,0.49189318073438243
SM,235560,Contig_138521.fasta,0.01716969532759245,1.0605132752117697e-05,0.4997577519379845
SM,235560,Contig_54607.fasta,0.019569792782985273,1.4197586008621126e-05,0.5004852013585638
SM,235560,Contig_1063557.fasta,0.013167189236186498,6.1465705476221615e-06,0.49903241412675375
SM,235560,Contig_137319.fasta,0.01868970098068213,1.21675380640325e-05,0.5002424830261881
SM,235560,Contig_53407.fasta,0.015833249144693837,8.976907692615068e-06,0.4997577519379845
SM,235560,Contig_1062202.fasta,0.010670218467383417,3.855827256398262e-06,0.49543707973102785
SM,235560,Contig_422644.fasta,0.015887762522347977,9.082660562912829e-06,0.49927395934172314
SM,235560,Contig_991144.fasta,0.0119599687711199,4.801864920696035e-06,0.49662975445353874
SM,235560,Contig_500942.fasta,0.01327224597858119,5.9645636087110915e-06,0.49710843373493974
SM,235560,Contig_553943.fasta,0.013178758853393929,6.049599383387821e-06,0.49758803666184276
SM,235560,Contig_137361.fasta,0.01850323074077423,1.2225141500151859e-05,0.5002424830261881
SM,235560,Contig_551233.fasta,0.013100386055877692,6.119632235946254e-06,0.49758803666184276
SM,235560,Contig_54682.fasta,0.019756949862493784,1.4044682622179927e-05,0.5002424830261881
SM,235560,Contig_53743.fasta,0.018369687520277306,1.2309272901205476e-05,0.5002424830261881
SM,235560,Contig_138130.fasta,0.01595185727103767,8.853978884572753e-06,0.49951573849878933
SM,235560,Contig_59389.fasta,0.015825022972315472,8.816498673795318e-06,0.49879110251450676
SM,235560,Contig_1194793.fasta,0.011801500556127581,4.8326698327688875e-06,0.49591346153846155
SM,235560,Contig_62383.fasta,0.014540321076514602,7.344548119873751e-06,0.49855002416626387
SM,235560,Contig_58030.fasta,0.015913159377602137,8.846294566508099e-06,0.49879110251450676
SM,235560,Contig_930757.fasta,0.01737626629797625,1.0366003591159768e-05,0.49927395934172314
SM,235560,Contig_368431.fasta,0.01718435194937743,1.0351802157409393e-05,0.4997577519379845
SM,235560,Contig_990245.fasta,0.014475152601675183,7.430549499674358e-06,0.49879110251450676
SM,235560,Contig_985135.fasta,0.018645900224365613,1.2303458440037733e-05,0.5002424830261881
SM,235560,Contig_368201.fasta,0.015691299573472362,8.979500363059886e-06,0.49927395934172314
SM,235560,Contig_136281.fasta,0.01320749505500904,6.1604764185994845e-06,0.49830917874396136
SM,235560,Contig_547390.fasta,0.010639430347827076,3.757192703793949e-06,0.4949616122840691
SM,235560,Contig_369244.fasta,0.010732556527158738,3.7280329830059682e-06,0.49425011978917105
SM,235560,Contig_4654.fasta,0.011952738818904308,4.789781387738103e-06,0.496868978805395
SM,235560,Contig_57750.fasta,0.015884676254907755,8.930498991902197e-06,0.49951573849878933
SM,235560,Contig_370786.fasta,0.011849287817991785,4.909470781452996e-06,0.49519923187710035
SM,235560,Contig_552788.fasta,0.017120446562612922,1.0401757901923711e-05,0.49951573849878933
SM,235560,Contig_372448.fasta,0.015894951892529454,8.903815217343481e-06,0.49927395934172314
SM,235560,Contig_499703.fasta,0.015919836569258203,8.995647038945048e-06,0.49927395934172314
SM,235560,Contig_62226.fasta,0.007943914093391246,2.011459475710086e-06,0.48223468910705936
SM,235560,Contig_368906.fasta,0.009295627537639982,2.8011260605998453e-06,0.48979107312440645
