pairs	Predictions	Scores
MG592390.1:Aliivibrio fischeri	0	0
MG592390.1:Enterovibrio norvegicus	1	1
MG592390.1:Shewanella sp. 10N.6	0	0
MG592390.1:Shewanella sp. 10N.7	0	0
MG592390.1:Vibrio alginolyticus	0	0
MG592390.1:Vibrio anguillarum	0	0
MG592390.1:Vibrio breoganii	0	0
MG592390.1:Vibrio cyclitrophicus	0	0
MG592390.1:Vibrio kanaloae	0	0
MG592390.1:Vibrio lentus	1	1
MG592390.1:Vibrio parahaemolyticus	0	0
MG592390.1:Vibrio sp. 10N.1	0	0
MG592390.1:Vibrio sp. 10N.2	0	0
MG592390.1:Vibrio sp. 10N.3	0	0
MG592390.1:Vibrio sp. 10N.4	0	0
MG592390.1:Vibrio sp. 10N.5	0	0
MG592390.1:Vibrio sp. F12	0	0
MG592390.1:Vibrio sp. F13	0	0
MG592390.1:Vibrio splendidus	0	0
MG592390.1:Vibrio tasmaniensis	0	0
MG592390.1:Vibrio vulnificus	0	0
MG592391.1:Aliivibrio fischeri	0	0
MG592391.1:Enterovibrio norvegicus	0	0
MG592391.1:Shewanella sp. 10N.6	0	0
MG592391.1:Shewanella sp. 10N.7	0	0
MG592391.1:Vibrio alginolyticus	0	0
MG592391.1:Vibrio anguillarum	0	0
MG592391.1:Vibrio breoganii	0	0
MG592391.1:Vibrio cyclitrophicus	0	0
MG592391.1:Vibrio kanaloae	0	0
MG592391.1:Vibrio lentus	1	1
MG592391.1:Vibrio parahaemolyticus	0	0
MG592391.1:Vibrio sp. 10N.1	0	0
MG592391.1:Vibrio sp. 10N.2	0	0
MG592391.1:Vibrio sp. 10N.3	0	0
MG592391.1:Vibrio sp. 10N.4	0	0
MG592391.1:Vibrio sp. 10N.5	0	0
MG592391.1:Vibrio sp. F12	0	0
MG592391.1:Vibrio sp. F13	0	0
MG592391.1:Vibrio splendidus	0	0
MG592391.1:Vibrio tasmaniensis	0	0
MG592391.1:Vibrio vulnificus	0	0
MG592392.1:Aliivibrio fischeri	0	0
MG592392.1:Enterovibrio norvegicus	0	0
MG592392.1:Shewanella sp. 10N.6	0	0
MG592392.1:Shewanella sp. 10N.7	0	0
MG592392.1:Vibrio alginolyticus	0	0
MG592392.1:Vibrio anguillarum	0	0
MG592392.1:Vibrio breoganii	0	0
MG592392.1:Vibrio cyclitrophicus	0	0
MG592392.1:Vibrio kanaloae	0	0
MG592392.1:Vibrio lentus	0	0
MG592392.1:Vibrio parahaemolyticus	0	0
MG592392.1:Vibrio sp. 10N.1	0	0
MG592392.1:Vibrio sp. 10N.2	0	0
MG592392.1:Vibrio sp. 10N.3	0	0
MG592392.1:Vibrio sp. 10N.4	0	0
MG592392.1:Vibrio sp. 10N.5	0	0
MG592392.1:Vibrio sp. F12	0	0
MG592392.1:Vibrio sp. F13	0	0
MG592392.1:Vibrio splendidus	1	1
MG592392.1:Vibrio tasmaniensis	0	0
MG592392.1:Vibrio vulnificus	0	0
MG592393.1:Aliivibrio fischeri	0	0
MG592393.1:Enterovibrio norvegicus	0	0
MG592393.1:Shewanella sp. 10N.6	0	0
MG592393.1:Shewanella sp. 10N.7	0	0
MG592393.1:Vibrio alginolyticus	0	0
MG592393.1:Vibrio anguillarum	0	0
MG592393.1:Vibrio breoganii	0	0
MG592393.1:Vibrio cyclitrophicus	1	1
MG592393.1:Vibrio kanaloae	0	0
MG592393.1:Vibrio lentus	0	0
MG592393.1:Vibrio parahaemolyticus	0	0
MG592393.1:Vibrio sp. 10N.1	0	0
MG592393.1:Vibrio sp. 10N.2	0	0
MG592393.1:Vibrio sp. 10N.3	0	0
MG592393.1:Vibrio sp. 10N.4	0	0
MG592393.1:Vibrio sp. 10N.5	0	0
MG592393.1:Vibrio sp. F12	0	0
MG592393.1:Vibrio sp. F13	0	0
MG592393.1:Vibrio splendidus	0	0
MG592393.1:Vibrio tasmaniensis	0	0
MG592393.1:Vibrio vulnificus	0	0
MG592394.1:Aliivibrio fischeri	0	0
MG592394.1:Enterovibrio norvegicus	1	1
MG592394.1:Shewanella sp. 10N.6	0	0
MG592394.1:Shewanella sp. 10N.7	0	0
MG592394.1:Vibrio alginolyticus	0	0
MG592394.1:Vibrio anguillarum	0	0
MG592394.1:Vibrio breoganii	1	1
MG592394.1:Vibrio cyclitrophicus	1	1
MG592394.1:Vibrio kanaloae	0	0
MG592394.1:Vibrio lentus	1	1
MG592394.1:Vibrio parahaemolyticus	0	0
MG592394.1:Vibrio sp. 10N.1	0	0
MG592394.1:Vibrio sp. 10N.2	0	0
MG592394.1:Vibrio sp. 10N.3	0	0
MG592394.1:Vibrio sp. 10N.4	0	0
MG592394.1:Vibrio sp. 10N.5	0	0
MG592394.1:Vibrio sp. F12	1	1
MG592394.1:Vibrio sp. F13	0	0
MG592394.1:Vibrio splendidus	1	1
MG592394.1:Vibrio tasmaniensis	0	0
MG592394.1:Vibrio vulnificus	0	0
MG592395.1:Aliivibrio fischeri	0	0
MG592395.1:Enterovibrio norvegicus	0	0
MG592395.1:Shewanella sp. 10N.6	0	0
MG592395.1:Shewanella sp. 10N.7	0	0
MG592395.1:Vibrio alginolyticus	0	0
MG592395.1:Vibrio anguillarum	0	0
MG592395.1:Vibrio breoganii	0	0
MG592395.1:Vibrio cyclitrophicus	0	0
MG592395.1:Vibrio kanaloae	0	0
MG592395.1:Vibrio lentus	1	1
MG592395.1:Vibrio parahaemolyticus	0	0
MG592395.1:Vibrio sp. 10N.1	0	0
MG592395.1:Vibrio sp. 10N.2	0	0
MG592395.1:Vibrio sp. 10N.3	0	0
MG592395.1:Vibrio sp. 10N.4	0	0
MG592395.1:Vibrio sp. 10N.5	0	0
MG592395.1:Vibrio sp. F12	0	0
MG592395.1:Vibrio sp. F13	0	0
MG592395.1:Vibrio splendidus	0	0
MG592395.1:Vibrio tasmaniensis	0	0
MG592395.1:Vibrio vulnificus	0	0
MG592396.1:Aliivibrio fischeri	0	0
