pairs	Predictions	Scores
Staphylococcus_arlettae:PG-2021_10	0	0
Staphylococcus_aureus:PG-2021_10	1	1
Staphylococcus_auricularis:PG-2021_10	0	0
Staphylococcus_capitis:PG-2021_10	1	1
Staphylococcus_caprae:PG-2021_10	0	0
Staphylococcus_chromogenes:PG-2021_10	1	1
Staphylococcus_cohnii:PG-2021_10	1	1
Staphylococcus_epidermidis:PG-2021_10	1	1
Staphylococcus_equorum:PG-2021_10	1	1
Staphylococcus_fleuretti:PG-2021_10	0	0
Staphylococcus_haemolyticus:PG-2021_10	0	0
Staphylococcus_hominis:PG-2021_10	0	0
Staphylococcus_hyicus:PG-2021_10	0	0
Staphylococcus_kloosii:PG-2021_10	0	0
Staphylococcus_lentus:PG-2021_10	1	1
Staphylococcus_lugdunensis:PG-2021_10	1	1
Staphylococcus_nepalensis:PG-2021_10	0	0
Staphylococcus_pasteuri:PG-2021_10	1	1
Staphylococcus_pettenkoferi:PG-2021_10	0	0
Staphylococcus_pseudintermedius:PG-2021_10	0	0
Staphylococcus_saprophyticus:PG-2021_10	0	0
Staphylococcus_schleiferi:PG-2021_10	1	1
Staphylococcus_sciuri:PG-2021_10	1	1
Staphylococcus_succinus:PG-2021_10	1	1
Staphylococcus_vitulinus:PG-2021_10	1	1
Staphylococcus_warneri:PG-2021_10	1	1
Staphylococcus_xylosus:PG-2021_10	1	1
Staphylococcus_arlettae:PG-2021_12	0	0
Staphylococcus_aureus:PG-2021_12	1	1
Staphylococcus_auricularis:PG-2021_12	0	0
Staphylococcus_capitis:PG-2021_12	0	0
Staphylococcus_caprae:PG-2021_12	0	0
Staphylococcus_chromogenes:PG-2021_12	1	1
Staphylococcus_cohnii:PG-2021_12	1	1
Staphylococcus_epidermidis:PG-2021_12	0	0
Staphylococcus_equorum:PG-2021_12	1	1
Staphylococcus_fleuretti:PG-2021_12	1	1
Staphylococcus_haemolyticus:PG-2021_12	0	0
Staphylococcus_hominis:PG-2021_12	0	0
Staphylococcus_hyicus:PG-2021_12	0	0
Staphylococcus_kloosii:PG-2021_12	1	1
Staphylococcus_lentus:PG-2021_12	0	0
Staphylococcus_lugdunensis:PG-2021_12	0	0
Staphylococcus_nepalensis:PG-2021_12	0	0
Staphylococcus_pasteuri:PG-2021_12	0	0
Staphylococcus_pettenkoferi:PG-2021_12	0	0
Staphylococcus_pseudintermedius:PG-2021_12	0	0
Staphylococcus_saprophyticus:PG-2021_12	0	0
Staphylococcus_schleiferi:PG-2021_12	0	0
Staphylococcus_sciuri:PG-2021_12	1	1
Staphylococcus_succinus:PG-2021_12	0	0
Staphylococcus_vitulinus:PG-2021_12	1	1
Staphylococcus_warneri:PG-2021_12	0	0
Staphylococcus_xylosus:PG-2021_12	1	1
Staphylococcus_arlettae:PG-2021_14	0	0
Staphylococcus_aureus:PG-2021_14	1	1
Staphylococcus_auricularis:PG-2021_14	0	0
Staphylococcus_capitis:PG-2021_14	0	0
Staphylococcus_caprae:PG-2021_14	0	0
Staphylococcus_chromogenes:PG-2021_14	1	1
Staphylococcus_cohnii:PG-2021_14	1	1
Staphylococcus_epidermidis:PG-2021_14	0	0
Staphylococcus_equorum:PG-2021_14	1	1
Staphylococcus_fleuretti:PG-2021_14	1	1
Staphylococcus_haemolyticus:PG-2021_14	0	0
Staphylococcus_hominis:PG-2021_14	0	0
Staphylococcus_hyicus:PG-2021_14	0	0
Staphylococcus_kloosii:PG-2021_14	1	1
Staphylococcus_lentus:PG-2021_14	1	1
Staphylococcus_lugdunensis:PG-2021_14	0	0
Staphylococcus_nepalensis:PG-2021_14	0	0
Staphylococcus_pasteuri:PG-2021_14	0	0
Staphylococcus_pettenkoferi:PG-2021_14	0	0
Staphylococcus_pseudintermedius:PG-2021_14	0	0
Staphylococcus_saprophyticus:PG-2021_14	0	0
Staphylococcus_schleiferi:PG-2021_14	0	0
Staphylococcus_sciuri:PG-2021_14	1	1
Staphylococcus_succinus:PG-2021_14	0	0
Staphylococcus_vitulinus:PG-2021_14	1	1
Staphylococcus_warneri:PG-2021_14	0	0
Staphylococcus_xylosus:PG-2021_14	1	1
Staphylococcus_arlettae:PG-2021_15	0	0
Staphylococcus_aureus:PG-2021_15	1	1
Staphylococcus_auricularis:PG-2021_15	0	0
Staphylococcus_capitis:PG-2021_15	1	1
Staphylococcus_caprae:PG-2021_15	0	0
Staphylococcus_chromogenes:PG-2021_15	1	1
Staphylococcus_cohnii:PG-2021_15	0	0
Staphylococcus_epidermidis:PG-2021_15	1	1
Staphylococcus_equorum:PG-2021_15	1	1
Staphylococcus_fleuretti:PG-2021_15	0	0
Staphylococcus_haemolyticus:PG-2021_15	0	0
Staphylococcus_hominis:PG-2021_15	0	0
Staphylococcus_hyicus:PG-2021_15	1	1
Staphylococcus_kloosii:PG-2021_15	0	0
Staphylococcus_lentus:PG-2021_15	0	0
Staphylococcus_lugdunensis:PG-2021_15	1	1
Staphylococcus_nepalensis:PG-2021_15	0	0
Staphylococcus_pasteuri:PG-2021_15	0	0
Staphylococcus_pettenkoferi:PG-2021_15	0	0
Staphylococcus_pseudintermedius:PG-2021_15	0	0
Staphylococcus_saprophyticus:PG-2021_15	0	0
Staphylococcus_schleiferi:PG-2021_15	1	1
Staphylococcus_sciuri:PG-2021_15	0	0
Staphylococcus_succinus:PG-2021_15	1	1
Staphylococcus_vitulinus:PG-2021_15	1	1
Staphylococcus_warneri:PG-2021_15	0	0
Staphylococcus_xylosus:PG-2021_15	1	1
Staphylococcus_arlettae:PG-2021_16	0	0
Staphylococcus_aureus:PG-2021_16	1	1
Staphylococcus_auricularis:PG-2021_16	0	0
Staphylococcus_capitis:PG-2021_16	1	1
Staphylococcus_caprae:PG-2021_16	0	0
Staphylococcus_chromogenes:PG-2021_16	1	1
Staphylococcus_cohnii:PG-2021_16	1	1
Staphylococcus_epidermidis:PG-2021_16	1	1
Staphylococcus_equorum:PG-2021_16	1	1
Staphylococcus_fleuretti:PG-2021_16	0	0
Staphylococcus_haemolyticus:PG-2021_16	0	0
Staphylococcus_hominis:PG-2021_16	0	0
Staphylococcus_hyicus:PG-2021_16	0	0
Staphylococcus_kloosii:PG-2021_16	0	0
Staphylococcus_lentus:PG-2021_16	0	0
Staphylococcus_lugdunensis:PG-2021_16	1	1
Staphylococcus_nepalensis:PG-2021_16	0	0
Staphylococcus_pasteuri:PG-2021_16	0	0
Staphylococcus_pettenkoferi:PG-2021_16	0	0
Staphylococcus_pseudintermedius:PG-2021_16	0	0
Staphylococcus_saprophyticus:PG-2021_16	0	0
Staphylococcus_schleiferi:PG-2021_16	1	1
Staphylococcus_sciuri:PG-2021_16	0	0
Staphylococcus_succinus:PG-2021_16	1	1
Staphylococcus_vitulinus:PG-2021_16	1	1
Staphylococcus_warneri:PG-2021_16	0	0
Staphylococcus_xylosus:PG-2021_16	1	1
Staphylococcus_arlettae:PG-2021_17	0	0
Staphylococcus_aureus:PG-2021_17	1	1
Staphylococcus_auricularis:PG-2021_17	1	1
Staphylococcus_capitis:PG-2021_17	1	1
Staphylococcus_caprae:PG-2021_17	0	0
Staphylococcus_chromogenes:PG-2021_17	1	1
Staphylococcus_cohnii:PG-2021_17	1	1
Staphylococcus_epidermidis:PG-2021_17	1	1
Staphylococcus_equorum:PG-2021_17	1	1
Staphylococcus_fleuretti:PG-2021_17	0	0
Staphylococcus_haemolyticus:PG-2021_17	0	0
Staphylococcus_hominis:PG-2021_17	0	0
Staphylococcus_hyicus:PG-2021_17	1	1
Staphylococcus_kloosii:PG-2021_17	1	1
Staphylococcus_lentus:PG-2021_17	1	1
Staphylococcus_lugdunensis:PG-2021_17	1	1
Staphylococcus_nepalensis:PG-2021_17	0	0
Staphylococcus_pasteuri:PG-2021_17	0	0
Staphylococcus_pettenkoferi:PG-2021_17	1	1
Staphylococcus_pseudintermedius:PG-2021_17	1	1
Staphylococcus_saprophyticus:PG-2021_17	0	0
Staphylococcus_schleiferi:PG-2021_17	1	1
Staphylococcus_sciuri:PG-2021_17	1	1
Staphylococcus_succinus:PG-2021_17	1	1
Staphylococcus_vitulinus:PG-2021_17	1	1
Staphylococcus_warneri:PG-2021_17	0	0
Staphylococcus_xylosus:PG-2021_17	1	1
Staphylococcus_arlettae:PG-2021_18	0	0
Staphylococcus_aureus:PG-2021_18	1	1
Staphylococcus_auricularis:PG-2021_18	0	0
Staphylococcus_capitis:PG-2021_18	1	1
Staphylococcus_caprae:PG-2021_18	0	0
Staphylococcus_chromogenes:PG-2021_18	1	1
Staphylococcus_cohnii:PG-2021_18	0	0
Staphylococcus_epidermidis:PG-2021_18	1	1
Staphylococcus_equorum:PG-2021_18	1	1
Staphylococcus_fleuretti:PG-2021_18	0	0
Staphylococcus_haemolyticus:PG-2021_18	0	0
Staphylococcus_hominis:PG-2021_18	0	0
Staphylococcus_hyicus:PG-2021_18	0	0
Staphylococcus_kloosii:PG-2021_18	0	0
Staphylococcus_lentus:PG-2021_18	0	0
Staphylococcus_lugdunensis:PG-2021_18	1	1
Staphylococcus_nepalensis:PG-2021_18	0	0
Staphylococcus_pasteuri:PG-2021_18	0	0
Staphylococcus_pettenkoferi:PG-2021_18	0	0
Staphylococcus_pseudintermedius:PG-2021_18	0	0
