Virus,Host
49628--k141_184234||full.fasta,concatenated_Sample_49632_12.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49632_5.1.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49624_12.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49624_46.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49628_11.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49625_12.fasta
49628--k141_184234||full.fasta,concatenated_49624-contigs.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49624_47.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49624_51.1.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49628_63.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49624_34.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49625_6.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49628_20.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49628_55.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49624_8.fasta
49628--k141_184234||full.fasta,concatenated_Sample_49632_27.fasta
49641--k141_262468||full.fasta,concatenated_Sample_49632_5.1.fasta
49641--k141_262468||full.fasta,concatenated_Sample_49624_12.fasta
49641--k141_262468||full.fasta,concatenated_Sample_49624_46.fasta
49641--k141_262468||full.fasta,concatenated_Sample_49628_11.fasta
49641--k141_262468||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_262468||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_262468||full.fasta,concatenated_Sample_49632_27.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49632_12.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49632_5.1.fasta
49633--k141_269630||full.fasta,concatenated_49633-contigs.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49624_12.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49624_46.fasta
49633--k141_269630||full.fasta,concatenated_49628-contigs.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49628_11.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49624_47.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49624_51.1.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49624_34.fasta
49633--k141_269630||full.fasta,concatenated_49627-contigs.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49625_6.fasta
49633--k141_269630||full.fasta,concatenated_49626-contigs.fasta
49633--k141_269630||full.fasta,concatenated_49625-contigs.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49628_20.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49628_55.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49624_8.fasta
49633--k141_269630||full.fasta,concatenated_Sample_49632_27.fasta
49641--k141_111909||full.fasta,concatenated_Sample_49624_12.fasta
49641--k141_111909||full.fasta,concatenated_Sample_49624_46.fasta
49641--k141_111909||full.fasta,concatenated_49628-contigs.fasta
49641--k141_111909||full.fasta,concatenated_49624-contigs.fasta
49641--k141_111909||full.fasta,concatenated_Sample_49624_47.fasta
49641--k141_111909||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_111909||full.fasta,concatenated_49627-contigs.fasta
49641--k141_111909||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_111909||full.fasta,concatenated_49626-contigs.fasta
49641--k141_111909||full.fasta,concatenated_49625-contigs.fasta
49641--k141_111909||full.fasta,concatenated_49629-contigs.fasta
